"REQUEST YOUR QUOTE","Demandez un devis"
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Le mot de passe doit faire au moins 6 caractères. Les espaces au début ou à la fin seront ignorés."
"The suffix that goes after name (Jr., Sr., etc.)","Le suffixe vient après le nom (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Le préfixe vient avant le nom (M., Mme, etc.)"
"There are no items in customer's wishlist at the moment","Aucun article dans la liste d'envies du client"
"There are no items in customer\'s shopping cart at the moment","Aucun article dans le panier du client"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Il existe déjà un compte pour cet email. Si vous êtes sûr d'avoir correctement saisi votre email, <a href=""%s"">cliquez ici</a> pour récupérer votre mot de passe et accéder à votre compte."
"This account is not confirmed.","Ce compte n'est pas confirmé."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'a pas encore été confirmé. <a href=""%s"">Cliquez ici</a> Pour envoyer un nouvel email de confirmation."
"This customer email already exists.","Cet email client existe déjà."
"This customer has no saved addresses.","Le client n'a pas d'adresse sauvegardée"
"This email address was not found in our records.","Cet email n'a pas été trouvée dans notre base."
"This email does not require confirmation.","Cet email ne nécessite pas de confirmation."
"This email will be sent instead of default welcome email, after account confirmation.","Cet email sera envoyé à la place de l'email de bienvenue, après la confirmation de création du compte."
"This is My Default %s Address","Ceci est mon adresse de <strong>%s</strong> par défaut"
"To Cart","Vers le panier"
"Total","Total"
"Type","Type"
"Unknown","Inconnu"
"Unsubscribe from Newsletter","Se désinscrire de la newsletter"
"Update","Mettre à jour"
"Update customer address data","Modifier les données de l'adresse client"
"Update customer data","Modifier les données du client"
"Use as My Default %s Address","Utiliser comme adresse <strong>%s</strong> par défaut"
"Use as My Default Billing Address","Utiliser comme adresse de facturation par défaut"
"Use as My Default Shipping Address","Utiliser comme adresse de livraison par défaut"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"User description","Description utilisateur"
"View","Voir"
"View Order","Visualiser"
"Visible In","Visible dans"
"Visitor","Visiteur"
"Visitors Only","Visiteurs seulement"
"Website","Site web"
"Welcome Email","Email de bienvenue"
"Wishlist","Liste d'envies"
"Wishlist - %d item(s)","Liste d'envies - %d article(s)"
"Wrong confirmation key.","Clé de confirmation erronée."
"Wrong customer account specified.","Le compte client spécifié est erroné."
"Wrong email.","Email erroné."
"Wrong transactional account email type.","Le type d'email de compte transactionnel est erroné."
"XML","XML"
"YYYY","AAAA"
"Year","Année"
"Yes","Oui"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune newsletter."
"You are currently not subscribed to our newsletter.","Vous n'êtes pas abonné(e) à notre newsletter"
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'"
"You are currently subscribed to our newsletter.","Vous êtes abonné(e) à notre newsletter"
"You are now logged out","Vous vous êtes déconnecté(e)."
"You have logged out and will be redirected to our homepage in 5 seconds.","Vous vous êtes déconnecté(e) et vous serez redirigé(e) vers la page d'accueil dans 5 secondes."
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default entries in your address book.","Vous n'avez pas d'entrée par défaut dans votre carnet d'adresses"
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"You have not set a default billing address.","Vous n'avez pas spécifié d'adresse de facturation par défaut."
"You have not set a default shipping address.","Vous n'avez pas spécifié d'adresse de livraison par défaut."
"You have placed no orders yet.","Vous n'avez pas encore passé de commande."
"You have placed no products yet.","Vous n'avez pas encore choisi de produit."
"Your account balance is: %s","Le solde de votre compte est de : <strong>%s</strong>"
"ZIP","Code postal"
"ZIP/Post Code","ZIP/Code postal"
"Zip/Postal Code","Code postal"
"n/a","n/a"
"or","ou"
"JavaScript Template","Gabarit JavaScript"
"Please enter the street.","Veuillez renseigner la rue."
"Please enter the city.","Veuillez renseigner la ville."
"Please enter the telephone number.","Veuillez renseigner le numéro de téléphone."
"Please enter the zip/postal code.","Veuillez renseigner le code postal."
"Please enter the state/province.","Veuillez renseigner le département."
"There are no items in customer's shopping cart at the moment","Aucun article dans le panier du client"
"""%s"" length must be equal to or greater than %s characters.","La longueur de ""%s"" doit être supérieure ou égale à %s caractères."
"""%s"" length must be less than or equal to %s characters.","La longueur de ""%s"" doit être inférieure ou égale à %s caractères."
"Configure","Configurer"
"Excel XML","XML d'Excel"
"Number of Lines in a Street Address","Nombre de lignes dans l'adresse de rue"
"Please enter your email below and we'll send you confirmation link for it.","Saisissez votre email ci-dessous et nous vous enverrons un lien de confirmation."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' semble être un nom d'hôte de DNS, mais la partie TLD ne peut pas être extraite"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' semble être un nom d'hôte de DNS, mais la partie TLD ne fait pas partie de la liste des TLD connus."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' semble être un nom d'hôte de DNS, mais il est impossibile de faire correspondre le schéma de nom d'hôte au TLD '%tld%'."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' semble être un nom d'hôte de DNS, mais elle contient un tiret à une position incorrecte."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' semble être un nom d'hôte de DNS, mais la notation punycode donnée ne peut pas être décodée."
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' semble être un nom d'hôte de DNS, mais les noms de réseau local ne sont pas autorisés."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' semble être une adresse IP, mais celles-ci ne sont pas autorisées."
"'%value%' does not appear to be a valid local network name","'%value%' n'est pas un nom de réseau local valide."
"Customer API","API client"
"Customer email is required","L'email du client est obligatoire"
"Customer website ID must be specified when using the website scope","L'identifiant du site web du client doit être renseigné lorsque la portée du site web est utilisée."
"Forgot Your Password","Mot de passe oublié"
"The group ""%s"" cannot be deleted","Le groupe ""%s"" ne peut pas être effacé"
"This customer email already exists","Cet email client existe déjà"
"Wrong transactional account email type","Le type d'email de compte transactionnel est erroné"
"%d Review(s)","%d Commentaire(s)"
"%s Review(s)","%s Commentaire(s)"
"(Posted on %s)","(Posté le %s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Review","Ajouter nouveau commentaire"
"Add Your Review","Ajoutez votre commentaire"
"Administrator","Administrateur"
"All Reviews","Tous les avis"
"All Reviews of Customer `%s`","Tous les commentaires du client '%s'"
"Allow Guests to Write Reviews","Autoriser les invités à écrire des commentaires"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Average Customer Rating","Note moyenne"
"Average Customer Rating:","Note moyenne des clients :"
"Back to Main Product Info","Retour à la fiche du produit"
"Back to My Reviews","Retour à mes commentaires"
"Back to Product Reviews","Retour aux commentaires"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Catalog Product Review View","Vue des commentaires de produits"
"Catalog Product Reviews List","Liste des commentaires de produits"
"Created On","Créé le"
"Customer","Client"
"Customer My Account Product Reviews","Commentaires de produit dans le compte client"
"Customer My Account Review Details","Détails des commentaires dans le compte client"
"Customer Reviews","Commentaires des clients"
"Delete","Supprimer"
"Delete Review","Supprimer le commentaire"
"Detailed Rating","Notation détaillée"
"Edit Review '%s'","Éditer le commentaire '%s'"
"Guest","Invité"
"How do you rate this product?","Quelle note donneriez-vous à ce produit?"
"ID","ID"
"Manage Ratings","Gérer les notations"
"My Product Reviews","Mes commentaires"
"My Recent Reviews","Mes derniers commentaires"
"Name","Nom"
"Name in Store","Nom dans la boutique"
"New Review","Nouveau commentaire"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Seuls les utilisateurs inscrits peuvent écrire des commentaires. Veuillez <a href=""%s"">vous connecter</a> ou <a href=""%s"">vous enregistrer</a>"
"Pending Reviews","Commentaires en attente"
"Pending Reviews of Customer `%s`","Commentaires en attente du client '%s'"
"Please select a product","Sélectionnez un produit"
"Please select one of each of the ratings above","Sélectionnez une notation de chaque parmi les suivantes"
"Posted By","Posté par"
"Product","Produit"
"Product Rating","Notation du produit"
"Product Rating:","Note du produit :"
"Product Review (submitted on %s):","<strong>Commentaire</strong> (posté le %s) :"
"Product Reviews","Commentaires"
"Product SKU","Réf. Produit"
"Rating:","Note :"
"Review","Commentaire"
"Review (submitted on %s):","Commentaire (soumis le %s) :"
"Review Details","Détail du commentaire"
"Review Form Fields Before","Avant le formulaire de commentaire"
"Review by <span>%s</span>","Commentaire par <span>%s</span>"
"Reviews and Ratings","Commentaires et notations"
"SKU","Réf."
"Save Review","Sauvegarder le commentaire"
"Submit Review","Poster le commentaire"
"Summary Rating","Aperçu des notations"
"Summary of Review","Résumé du commentaire"
"Summary of Your Review","Résumé de votre commentaire"
"Title","Titre"
"Type","Type"
"Unable to post the review.","Impossible de poster le commentaire"
"Update Status","Mettre à jour le statut"
"View All Reviews","Voir tous les commentaires"
"View Details","Voir les détails"
"Visible In","Visible dans"
"Websites","Sites web"
"Write Your Own Review","Rédigez votre propre commentaire"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"Your Rating:","Votre note :"
"Your Review (submitted on %s):","<strong>Votre commentaire</strong> (posté le %s) :"
"Your review has been accepted for moderation.","Votre commentaire a été accepté pour modération."
"Not Approved","Non approuvé"
"Customers Reviews","Clients ayant commenté"
"More Information","Informations complémentaires"
"Delivery and payment","Paiement"
"Type of order","Type de commande:"
"Private","Particulier"
"Business","Professionnel"
"Street Name","Nom de la rue"
"House Number","Numero"
"Additional Address","Complément d'adresse"
"Phone Number","Numéro de téléphone"
"My billing and shipping address are the same","Mon adresse de facturation et mon adresse de livraison sont les mêmes"
"Apply Discount Code","Codes de remises"
"Enter discount code","Saisissez votre code de réduction"
"Apply Discount","Utiliser un bon de réduction"
"Checkout Review","Résumé commande"
"Shipping","Frais de port"
"Cart Subtotal","Sous-total Du Panier"
"Existing customer? Log in to your account","Déjà client? Connectez-vous à votre compte"
"Start typing your address or zip/postal code","Commencez à saisir votre adresse ou votre code postal"
"Not yet calculated","Pas encore calculé"
"Newsletter Subscriptions", "Abonnement à la Newsletter"
"Privacy Settings", "Paramètres de confidentialité"
"Select location","Sélectionnez l'emplacement"
"To place your order, you must agree to the terms and conditions.","Pour passer votre commande, vous devez accepter les termes et conditions."
"Enter Keyword or Item","Entrez un mot-clé ou un élément"
"Bestsellers", "Meilleures ventes"
"Items %1-%2 of %3 total","Articles %1-%2 sur %3 au total"
"%1 Item","%1 Article"
"%1 Items","%1 Éléments"
"Your search returned no products.","Votre recherche n'a renvoyé aucun produit."
"Search results for: '%1'","Résultats de recherche pour: '%1'"
"Recently Viewed Products","Derniers Produits Consultés"
"Your search returned no results.","Votre recherche n'a donné aucun résultat."
"Did you mean","Vouliez-vous dire"
"Related Terms","Termes Connexes"
"This is a required field.","Ceci est un champ obligatoire."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","La commande n'a pas été passée. Tout d'abord, acceptez les termes et conditions, puis réessayez de passer votre commande."
"Change Country", "Changer de pays"
"You added %s to your shopping cart.","Vous avez ajouté %s à votre panier."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier pour le moment."
"Print receipt", "Imprimer le reçu"
"Your order # is: %1.", "Votre numéro de commande est: %1."
"We'll email you an order confirmation with details and tracking info.", "Nous vous enverrons par e-mail une confirmation de commande avec les détails et les informations de suivi."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Nous prévoyons d'expédier votre commande le %1 et votre commande sera livrée le %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Nous prévoyons d'expédier votre commande le %1 et votre commande sera livrée entre le %2 et le %3."
"We expect to ship your order on %1.", "Nous prévoyons d'expédier votre commande le %1."
"Sign In","Connexion"
"Sign Out","Déconnexion"
"The requested qty exceeds the maximum qty allowed in shopping cart","La quantité demandée dépasse la quantité maximale autorisée dans le panier"
"Are you sure you would like to remove this item from the shopping cart?","Voulez-vous vraiment supprimer cet article du panier?"
"The shipping method is missing. Select the shipping method and try again.","Le mode d'expédition est manquant. Sélectionnez le mode d'expédition et réessayez."
"Back to Store","Retour au magasin"
"For delivery questions.","Pour les questions de livraison."
"Ship here","Expédier ici"
"Some addresses can't be used due to the configurations for specific countries.","Certaines adresses ne peuvent pas être utilisées en raison des configurations pour des pays spécifiques."
"An error occurred on the server. Please try to place the order again.","Une erreur s'est produite sur le serveur. Veuillez réessayer de passer la commande."
"Submit chosen location","Soumettre l'emplacement choisi"
"Pickup locations found","Lieux de ramassage trouvés"
"Filter pickup locations","Filtrer les lieux de retrait"
"Postcode, city, street, house","Code postal, ville, rue, maison"
"Late open (after: 18:00)","Nocturne (après : 18h00)"
"Open early (before 9:00)","Ouvert tôt (avant 9h00)"
"Open on Sunday","Ouvert le dimanche"
"Choose a pickup location","Choisissez un lieu de ramassage"
"I would like to receive a new one","Je souhaite en recevoir un nouveau"
"I would like to get a refund","Je souhaite me faire rembourser"
"Select subcategory", "Sélectionnez la sous-catégorie"
"Choose your solution", "Choisissez votre solution"
"Print quality","Qualité d'impression"
"Product quality (item)","Qualité du produit (article)"
"Wrong product (does not fit)","Mauvais produit (ne convient pas)"
"It is not what I expected","Ce n'est pas ce que j'attendais"
"Package not yet arrived","Colis pas encore arrivé"
"Choose another Topic","Choisir un autre sujet"
"Need help? Contact us here", "Besoin d'assistance? Contactez-nous ici"
"Contact with Gocustomized support", "Contact avec le support Gocustomized"
"Hi %1, please specify your support request", "Bonjour %1, merci d'indiquer l'objet de votre demande"
"Hi %1, how can we help you?", "Bonjour %1, Comment pouvons-nous vous aider?"
"I need assistance with","J'ai besoin d'aide avec"
"My received product(s)", "Mon produit reçu"
"My delivery", "Ma livraison"
"Cancel order", "Annuler la commande"
"Others", "Autres"
"Please select your question or complaint", "Veuillez sélectionner votre question ou plainte"
"Contact", "Contacter"
"How can we help you?", "Comment pouvons-nous vous aider?"
"DIRECT CUSTOMER SUPPORT", "ASSISTANCE DIRECTE AU CLIENT"
"Login", "Connexion"
"Please login to continue with direct support.", "Veuillez vous connecter pour continuer avec l'assistance directe."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Vous n'êtes pas (encore) client ou avez besoin d'un renseignement? Contactez-nous <a href=""javascript:otherQuestion()"">ici</a>"
"Next", "Suivant"
"Other", "Autre"
"change", "changer"
"Please fill in the required fields", "Veuillez remplir les champs obligatoires"
"View all topics","Afficher tout"
"Name","Nom"
"Email address","E-mail"
"Question related to","Votre question est liée à :"
"My preferred solution","Ma solution préféréé"
"Upload an image","Télécharger une image du problème"
"Description of the issue","Votre message"
"Submit","Valider"
"House number and addition","Numéro de maison et ajout"
"Which house number do you mean?","De quel numéro de maison parlez-vous?"
"Didn't find what you're looking for?","Vous n'avez pas trouvé ce que vous cherchiez ? Contactez-nous pour obtenir une assistance"
"contact us","nous contacter"
"Topics","Sujets"
"Search for help by topic, keywords","Sujets populaires : expédition, remboursement, méthodes de paiements"
"Popular topics:","Sujets populaires:"
"return","remboursement"
"shipping","expédition"
"payment","méthodes de paiements"
"Cash On Delivery","Paiement à la livraison"
"Credit Card","Carte de crédit"
"Shipping & Handling","Frais de port"
"Go back","Retour"
"You aren't subscribed to our newsletter.","Vous n'êtes pas abonné à notre newsletter."
"Email","Adresse mail"
"You have no other address entries in your address book.","Vous n'avez pas d'autres entrées d'adresse dans votre carnet d'adresses."
"action","Action"
"%1 Item(s)","%1 article(s)"
"Policies text","Texte des politiques"
"Read Privacy Policy","Lire la politique de confidentialité"
"Read Cookie Policy","Lire la politique relative aux cookies"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Ici, vous pouvez télécharger une copie de vos données personnelles que nous stockons pour votre compte au format CSV."
"Download","Télécharger"
"Anonymise personal data","Anonymiser les données personnelles"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","L'anonymisation de vos données personnelles signifie qu'elles seront remplacées
                        avec des informations anonymes non personnelles et avant cela, vous obtiendrez votre
                        nouvelle connexion à votre adresse e-mail (votre mot de passe restera le même). Après ce processus,
                        votre adresse e-mail et toutes les autres données personnelles seront supprimées du site Web."
"I agree and I want to proceed","Je suis d'accord et je veux continuer"
"Proceed","Procéder"
"Delete account","Supprimer le compte"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Demande de suppression de votre compte, ainsi que de toutes vos données personnelles,
                         sera traité par notre personnel.<br>La suppression de votre compte supprimera tous les achats
                         historique, remises, commandes, factures et toutes autres informations pouvant être liées à votre
                         compte ou vos achats.<br>Toutes vos commandes et informations similaires seront
                         perdu.<br>Vous ne pourrez pas restaurer l'accès à votre compte après
                         nous approuvons votre demande de suppression."
"I understand and I want to delete my account","Je comprends et je veux supprimer mon compte"
"Submit request","Envoyer la demande"
"You saved the account information.","Vous avez enregistré les informations du compte."
"You have placed no orders.","Vous n'avez passé aucune commande."
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"You updated your password.","Vous avez mis à jour votre mot de passe."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","S'il y a un compte associé à %1, vous recevrez un e-mail avec un lien pour réinitialiser votre mot de passe."
"If there is an account associated with %s you will receive an email with a link to reset your password.","S'il y a un compte associé à %s, vous recevrez un e-mail avec un lien pour réinitialiser votre mot de passe."
"Subscription option","Possibilité d'abonnement"
"Ship To","Envoyez à"
"Reorder","Commander à nouveau"
"Recently Ordered","Récemment commandé"
"View All","Voir tout"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","La connexion au compte était incorrecte ou votre compte est temporairement désactivé. Veuillez patienter et réessayer plus tard."
"Hi %s, Please include as much detail as possible","Bonjour %s, veuillez inclure autant de détails que possible"
"Please note that we can only cancel your order if we did not start printing and shipping your product.","Veuillez noter que nous ne pouvons annuler votre commande que si nous n'avons pas commencé à imprimer et à expédier votre produit."
"You will be redirected to the PayPal website.","Vous serez redirigé vers le site PayPal."
"Select Store:","Sélectionnez le magasin:"
"Design now!","PERSONNALISER"
"Items Ordered","Les articles commandés"
"Order information","Informations sur la commande"
"You have signed out and will go to our homepage in 5 seconds.","Vous vous êtes déconnecté et accédez à notre page d'accueil dans 5 secondes."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longueur minimale de ce champ doit être égale ou supérieure à %1 symboles. Les espaces de début et de fin seront ignorés."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Le minimum de différentes classes de caractères dans le mot de passe est %1. Classes de caractères : minuscules, majuscules, chiffres, caractères spéciaux."
"Please enter the same value again.","Entrez à nouveau la même valeur s'il vous plait."
"The minimum password length is %s","La longueur minimale du mot de passe est %s"
"Please enter your email address below to receive a password reset link.","Veuillez entrer votre adresse e-mail ci-dessous pour recevoir un lien de réinitialisation de mot de passe."
"Set a New Password","Définir un nouveau mot de passe"
"Thanks for reaching out to us we'll soon be in contact.","Merci de nous avoir contactés, nous vous contacterons bientôt."
"Welcome to","Bienvenue sur"
"Welcome to %store_name.","Bienvenue sur %store_name."
"Welcome to %store_name","Bienvenue sur %store_name"
"Welcome to %s.","Bienvenue sur %s."
"Welcome to %1.","Bienvenue sur %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pour accéder à votre compte client et créer votre mot de passe, cliquez sur ce <a href=""%create_password_url"">lien</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Pour accéder à votre compte client et créer votre mot de passe, cliquez sur ce <a href=""%s"">lien</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Pour accéder à votre compte client et créer votre mot de passe, cliquez sur ce <a href=""%1"">lien</a>:"
"Email:","Email:"
"When you sign in to your account, you will be able to:","Vous connecter à votre compte vous permet de:"
"Proceed through checkout faster","Passer commande plus rapidement"
"Check the status of orders","Vérifier le status de vos commandes en cours"
"View past orders","Consulter l’historique de vos commandes passées"
"Store alternative addresses (for shipping to multiple family members and friends)","Enregistrer plusieurs adresses de livraison"
"Thank you, %store_name","Merci, %store_name"
"Thank you, %s","Merci, %s"
"Thank you, %1","Merci, %1"
"Invoices","Factures"
"Order Shipments","Commandez des envois"
"Back to My Orders","Retour à Mes commandes"
"Order # %1","N° de commande %1"
"Print All Invoices","Imprimer toutes les factures"
"Invoice #","Facture d'achat #"
"Print Invoice","La facture d'impression"
"Qty Invoiced","Qté facturée"
"Order Information","Informations sur la commande"
"You submitted your review for moderation.","Vous avez soumis votre avis à la modération."
"Print All Shipments","Imprimer tous les envois"
"Shipment #","Envoi #"
"Shipment #%1","Envoi #%1"
"Print Shipment","Imprimer l'envoi"
"Track this shipment","Suivre cet envoi"
"Qty Shipped","Qté expédiée"
"Refunds","Remboursements"
"Print All Refunds","Imprimer tous les remboursements"
"Refund #","Remboursement #"
"Refund #%1","Remboursement #%1"
"Print Refund","Imprimer le remboursement"
"Discount Amount","Montant de la remise"
"Row Total","Total"
"Discount (%1)","Remise (%1)"
"Total","Total"
"SEE LESS","VOIR MOINS"
"Summary of your Review","Résumé de votre commentaire"
"Welcome, %1!","Bienvenue, %1!"
"Shipments","Envois"
"View all reviews","Voir tous les commentaires"
"I Agree","J'accepte"
"Your coupon was successfully applied.","Votre coupon a été appliqué avec succès."
"Your coupon was successfully removed.","Votre coupon a été supprimé avec succès."
"Your order number is: %1","Votre numéro de commande est : %1"
"Your order # is: <span>%1</span>.","Uw bestelnummer is: <span>%1</span>."
"We\'ll email you an order confirmation with details and tracking info.","We sturen je een orderbevestiging met details en trackinginformatie."
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%1"" onclick=""this.target=\'_blank\'"">hier om</a> een kopie van uw orderbevestiging af te drukken."
"%1 was updated in your shopping cart.","%1 is bijgewerkt in uw winkelwagen."
"I have a question about","J'ai une question sur"
"How Do You Rate This Product?","Quelle note donneriez-vous à ce produit?"
"Ship Here","Expédier ici"
"Cancel coupon","Annuler le coupon"
"Password Strength","Fiabilité du mot de passe"
"No Password","Pas de mot de passe"
"Weak","Faible"
"Medium","Moyen"
"Strong","Fort"
"Very Strong","Très fort"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Il existe déjà un compte avec cette adresse e-mail. Si vous êtes sûr qu'il s'agit de votre adresse e-mail, <a href=""%1"">cliquez ici</a> pour obtenir votre mot de passe et accéder à votre compte."
"Sorry, no quotes are available for this order.","Désolé, aucun devis n'est disponible pour cette commande."
"Get shipping methods and rates","Obtenez les méthodes d'expédition et les tarifs"
"You don\'t need to select a shipping method.","Vous n'avez pas besoin de sélectionner un mode d'expédition."
"Incl. Tax","TTC"
"Incl. tax","TTC"
"Excl. Tax","HT"
"Excl. tax","HT"
"Total incl. tax","Total TTC"
"Total excl. tax","Total HT"
"Refund Shipping (Incl. Tax)","Remboursement de l'expédition (TTC)"
"Refund Shipping (Excl. Tax)","Remboursement de l'expédition (HT)"
"Refund Shipping","Remboursement de l'expédition"
"Click to change shipping method","Cliquez pour changer le mode de livraison"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Please specify a regionId in shipping address.","Veuillez spécifier un regionId dans l'adresse de livraison."
"New Customers","Nouveaux clients"
"Registered Customers","Clients enregistrés"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte avec notre boutique, vous pourrez passer à la caisse plus rapidement, stocker plusieurs adresses de livraison, afficher et suivre vos commandes dans votre compte et plus encore."
"If you have an account with us, please log in.","Si vous avez un compte chez nous, veuillez vous connecter."
"Coupon code is not valid","Le code promo n'est pas valide"
"Login or Create an Account","Identifiez-vous ou créez un compte"
"View and Edit Cart","Afficher et modifier le panier"
"We can't find products matching the selection.","Nous ne pouvons pas trouver de produits correspondant à la sélection."
"GoCustomized - Design your product","GoCustomized - Concevez votre produit"
"You're reviewing:","Vous consultez maintenant:"
"You're reviewing:\n%s","Vous consultez maintenant:\n%s"
"You coupon was successfully applied.","Votre coupon a été appliqué avec succès."
"No Payment Methods","Aucun mode de paiement"
"You have no items in your shopping cart.","Vous n'avez aucun article dans votre panier."
"Quality","Qualité"
"star","étoile"
"Go Back","Retour"
"Please make sure your passwords match.","Merci de vérifier que vos mots de passe correspondent."
"We can\'t save the customer.","Nous ne pouvons pas sauver le client."
"Thank you for registering with %1.","Merci de vous être enregistré avec %1."
"Print Order","Ordre d'impression"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Date de la commande :</span> %1"
"Price","Prix"
"price","prix"
"Filter","Filtre"
"filter","filtre"
"Could not apply coupon code","Impossible d'appliquer le code promo"
"The shipping address is missing. Set the address and try again.","L'adresse de livraison est manquante. Définissez l'adresse et réessayez."
"Please type the letters below","Veuillez taper les lettres ci-dessous"
"Products Reviews","Avis sur les produits"
"Currently Shopping by","Vous consultez maintenant"
"Currently Shopping by:","Vous consultez maintenant:"
"Reviews %1","Commentaires %1"
"You save the address.","Vous enregistrez l'adresse."
"Reset My Password","Réinitialiser mon mot de passe"
"Incorrect CAPTCHA","CAPTCHA incorrecte"
"A login and a password are required.","Un login et un mot de passe sont requis."
"Your search returned no results.","Votre recherche n'a donné aucun résultat."
"Did you mean","Vouliez-vous dire"
"Search results for: '%1'","Résultats de la recherche pour : '%1'"
"Ordered","Commandé"
"Shipped","Expédié"
"Create New Customer Account","Créer un nouveau compte client"
"Personal Information","Informations personnelles"
"Sign Up for Newsletter","S'inscrire aux Newsletters"
"Login Information","Informations de connexion"
"Review by","Réviser par"
"Posted on","Posté sur"
"Please select a pickup location.","Veuillez sélectionner un lieu de prise en charge."
"Already a customer?","Déjà client ?"
"Receive a faster answer about your order by login in below.","Recevez une réponse plus rapide au sujet de votre commande en vous connectant ci-dessous."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Votre compte client à été créé lorsque vous avez passé commande. Un e-mail vous à été envoyé le jour même pour l'activer. Vous n'avez pas reçu cet e-mail ? Activez votre compte en réinitialisant votre mot de passe <a href=""%1"">ici</a>."
"Customer Contact","Contact (client)"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","Pas encore client ? Si vous n'avez pas passé de commande chez nous, veuillez remplir notre formulaire de contact."
"Fill out contact form","Formulaire de contact (non client)"
"Not yet a customer?","Vous n'êtes pas encore client ?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Si vous n'avez pas passé de commande chez nous, veuillez remplir notre formulaire de contact ci-dessous. Si votre question concerne votre commande, veuillez vous connecter <span class=""login"">ici</span>. Nous vous répondrons plus rapidement !"
"General contact form:","Formulaire de contact (non client):"
"Login to your account","Connectez-vous à votre compte"
