"Design now!","Ontwerp nu!"
"Store alternative addresses (for shipping to multiple family members and friends)","En meerdere verzendadressen opslaan (bijvoorbeeld om naar vrienden te versturen)"
"Thank you, %store_name","Bedankt, %store_name"
"Thank you, %s","Bedankt, %s"
"Thank you, %1","Bedankt, %1"
"Invoices","Facturen"
"Order Shipments","Zendingen bestellen"
"Back to My Orders","Terug naar Mijn bestellingen"
"Order # %1","Bestel # %1"
"Print All Invoices","Alle facturen afdrukken"
"Invoice #","Factuur #"
"Print Invoice","Factuur afdrukken"
"Qty Invoiced","Aantal gefactureerd"
"Order Information","Order Informatie"
"You submitted your review for moderation.","Je hebt je review ingediend voor moderatie."
"Print All Shipments","Alle zendingen afdrukken"
"Shipment #","Zending #"
"Shipment #%1","Zending #%1"
"Print Shipment","Zending afdrukken"
"Track this shipment","Deze zending volgen"
"Qty Shipped","Aantal verzonden"
"Refunds","Terugbetalingen"
"Print All Refunds","Alle terugbetalingen afdrukken"
"Refund #","Terugbetaling #"
"Refund #%1","Terugbetaling #%1"
"Print Refund","Terugbetaling afdrukken"
"Discount Amount","Korting hoeveelheid"
"Row Total","Totaal"
"Discount (%1)","Korting (%1)"
"SEE LESS","ZIE MINDER"
"Nickname","Schermnaam"
"Welcome, %1!","Welkom, %1!"
"Shipments","Zendingen"
"ALL REVIEWS","ALLE BEOORDELINGEN"
"All Reviews","Alle beoordelingen"
"View all reviews","Bekijk alle beoordelingen"
"View All Reviews","Bekijk alle beoordelingen"
"Update Cart","Winkelwagen bijwerken"
"I Agree","Ik ga akkoord"
"Your coupon was successfully applied.","Uw coupon is succesvol toegepast."
"Your coupon was successfully removed.","Uw coupon is succesvol verwijderd."
"Your order number is: %1","Uw bestelnummer is: %1"
"Your order # is: <span>%1</span>.","Uw bestelnummer is: <span>%1</span>."
"We\'ll email you an order confirmation with details and tracking info.","We sturen je een orderbevestiging met details en trackinginformatie."
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%1"" onclick=""this.target=\'_blank\'"">hier om</a> een kopie van uw orderbevestiging af te drukken."
"%1 was updated in your shopping cart.","%1 is bijgewerkt in uw winkelwagen."
"I have a question about","Ik heb een vraag over"
"How Do You Rate This Product?","Hoe waardeert u dit product?"
"Summary of your Review","Samenvatting van uw review"
"Ship Here","Schip hier"
"Sort by","Sorteer"
"Cancel coupon","Kortingsbon annuleren"
"Continue Shopping","Verder winkelen"
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">hier</a> om door te gaan met winkelen."
"Password Strength","Wachtwoord sterkte"
"No Password","Geen wachtwoord"
"Weak","Zwak"
"Medium","Medium"
"Strong","Sterk"
"Very Strong","Heel sterk"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Er is al een account met dit e-mailadres. Als u zeker weet dat dit uw e-mailadres is, <a href=""%1"">klikt u hier</a> om uw wachtwoord te verkrijgen en toegang te krijgen tot uw account."
"Sorry, no quotes are available for this order.","Sorry, er zijn geen offertes beschikbaar voor deze bestelling."
"Get shipping methods and rates","Verzendmethoden en tarieven ophalen"
"You don\'t need to select a shipping method.","U hoeft geen verzendmethode te selecteren."
"Incl. Tax","Incl. BTW"
"Incl. tax","Incl. btw"
"Excl. Tax","Excl. BTW"
"Excl. tax","Excl. btw"
"Total incl. tax","Totaal incl. btw"
"Total excl. tax","Totaal ezcl. btw"
"Refund Shipping (Incl. Tax)","Verzendkosten terugbetalen (incl. btw)"
"Refund Shipping (Excl. Tax)","Verzendkosten terugbetalen (excl. btw)"
"Refund Shipping","Verzendkosten terugbetalen"
"Click to change shipping method","Klik om de verzendmethode te wijzigen"
"Save in address book","Opslaan in adresboek"
"Please specify a regionId in shipping address.","Geef een region-ID op in het verzendadres."
"New Customers","Nieuwe klanten"
"Registered Customers","Geregistreerde klanten"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken in deze winkel kunt u het betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"If you have an account with us, please log in.","Als u een account bij ons hebt, log dan in a.u.b."
"Coupon code is not valid","Kortingscode is niet geldig"
"Login or Create an Account","Inloggen of een account aanmaken"
"View and Edit Cart","Bekijk en bewerk winkelwagen"
"We can't find products matching the selection.","We kunnen geen producten vinden die overeenkomen met de selectie."
"GoCustomized - Design your product","GoCustomized - Ontwerp je product"
"You're reviewing:","Je beoordeelt nu:"
"You're reviewing:\n%s","Je beoordeelt nu:\n%s"
"You coupon was successfully applied.","Uw coupon is succesvol toegepast."
"No Payment Methods","Geen Betaalmethoden"
"You have no items in your shopping cart.","U heeft geen artikelen in uw winkelwagen."
"Quality","Kwaliteit"
"star","ster"
"Go Back","Ga terug"
"Please make sure your passwords match.","Zorg er alstublieft voor dat uw wachtwoorden overeenkomen."
"We can\'t save the customer.","We kunnen de klant niet redden."
"Thank you for registering with %1.","Bedankt voor het registreren bij %1."
"Print Order","Printopdracht"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Besteldatum:</span> %1"
"Price","Prijs"
"price","prijs"
"Filter","Filter"
"filter","filter"
"Could not apply coupon code","Kon couponcode niet toepassen"
"The shipping address is missing. Set the address and try again.","Het verzendadres ontbreekt. Stel het adres in en probeer het opnieuw."
"Please type the letters below","Typ de onderstaande letters a.u.b."
"Products Reviews","Producten Beoordelingen"
"Currently Shopping by","Momenteel winkelen door"
"Currently Shopping by:","Momenteel winkelen door:"
"Reviews %1","Beoordelingen %1"
"You save the address.","Je slaat het adres op."
"Reset My Password","Reset mijn wachtwoord"
"Incorrect CAPTCHA","Onjuiste CAPTCHA"
"A login and a password are required.","Een login en een wachtwoord zijn vereist."
"Your search returned no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
"Did you mean","Bedoelde je"
"Search results for: '%1'","Zoekresultaten voor: '%1'"
"Ordered","Besteld"
"Shipped","Verzonden"
"Create New Customer Account","Nieuw klantaccount aanmaken"
"Personal Information","Persoonlijke informatie"
"Sign Up for Newsletter","Aanmelden voor Nieuwsbrief"
"Login Information","Login Informatie"
"Review by","Beoordeling door"
"Posted on","Geplaatst op"
"Please select a pickup location.","Selecteer een ophaallocatie."
"Already a customer?","Al een klant?"
"Receive a faster answer about your order by login in below.","Ontvang een snel antwoord over je bestelling door beneden in te loggen."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Klantaccounts worden gemaakt wanneer je een bestelling plaatst. Een e-mail om je account te activeren wordt dezelfde dag verstuurd. Heb jij dat e-mail niet ontvangen? Activeer jouw account door je wachtwoord <a href=""%1"">hier</a> te resetten."
"Customer Contact","Klantcontact"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","Nog geen klant? Als je geen bestelling hebt geplaatst, vul dan alstublieft ons contactformulier in."
"Fill out contact form","Vul het contactformulier in"
"Not yet a customer?","Nog geen klant?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Als je geen bestelling bij ons hebt geplaatst, vul dan alstublieft ons contactformulier hieronder in. Als je een vraag hebt over je bestelling, log dan <span class=""login"">hier</span> in. Dit helpt ons om een sneller antwoord te geven."
"General contact form:","Algemene contactformulier:"
"Login to your account","Log in op je account"
"Check your inbox, we’ll send you...","Bekijk je inbox, wij verzenden..."
"An email to activate your Customer Account to follow up your order.","Een e-mail om jouw klantaccount te activeren om je bestelling te volgen."
"Your order confirmation with the details of your purchase.","Een bevestiging van je bestelling met de details van je aankoop."
"Activate your customer account – Review your order details in one place.","Activeer je klantaccount - Bekijk gegevens van je bestelling op een plek."
"Your customer account has been created.","Jouw klantaccount is gemaakt."
"Follow up your order, get direct support, and much more by activating your account! <br/>You just need to set up a password.","Volg je bestelling, ontvang direct hulp en nog veel meer door je account te activeren! <br/>Het enige wat je nodig hebt is een wachtwoord."
"<a href=""%create_password_url"">Activate your account</a>","<a href=""%create_password_url"">Activeer jouw account</a>"
"It might help you to check our delivery information.","Het kan je helpen om informatie van onze levering te bekijken."
"By placing an order a customer account is automatically created.","Door een bestelling te plaatsen, wordt een klantaccount automatisch gemaakt."
"You are signed out","Je bent uitgelogd"
"Please enter your email address below. You will receive a link to reset your password.","Vul hieronder uw e-mailadres in. U ontvangt een link om uw wachtwoord opnieuw in te stellen."
"Track Shipment","Zending volgen"
"No Faqs Found!","Geen veelgestelde vragen gevonden!"
"Your order was successfully received (order number: %1).","Jouw bestelling is met succes ontvangen (ordernummer: %1)."
"We expect to deliver your order around %1 and %2.","Wij verwachten jouw bestelling rond %1 and %2 te leveren."
"We expect to deliver your order on %1.","We verwachten jouw bestelling te leveren op %1."
"Select one or multiple options to receive your order ready for a gift.","Selecteer een of meerdere opties om je bestelling te ontvangen als cadeau."
"Add to Cart","In winkelwagen"
"ADD TO CART","IN WINKELWAGEN"
"Choose your gift options","Kies je cadeau opties"
"I want it","Voeg toe"
"Add","Voeg toe"
"ADD","VOEG TOE"
"Complete your order","Maak je order compleet"
"COMPLETE YOUR ORDER","MAAK JE ORDER COMPLEET"
"CONTINUE TO CART","NAAR WINKELWAGEN"
"Gift options","Cadeau opties"
"Make it a gift","Maak er een cadeau van"
