"REQUEST YOUR QUOTE","ANMOD OM CITAT"
"The account information has been saved.","Kontoinformationen er gemt."
"The address does not belong to this customer.","Adressen tilhører ikke denne kunde"
"The address has been deleted.","Adressen er slettet."
"The address has been saved.","Adressen er gemt."
"The customer ID and email did not match, skipping the record, line: %s","Kunde-ID og email matcher ikke, springer over linie: %s"
"The customer does not have default billing address.","Kunden har ikke en standardbetalingsadresse."
"The customer email (%s) already exists, skipping the record, line: %s","Kundens emailadresse (%s) eksisterer allerede, springer over linie: %s"
"The customer group has been deleted.","Kundegruppen er slettet."
"The customer group has been saved.","Kundegruppen er gemt."
"The customer is currently assigned to Customer Group %s.","Kunden tilhører i øjeblikket kundegruppen %s."
"The first name cannot be empty.","Fornavn må ikke være tomt."
"The group ""%s"" cannot be deleted","Gruppen ""%s"" kan ikke slettes"
"The last name cannot be empty.","Efternavn må ikke være tomt."
"The minimum password length is %s","Minimumslængden for kodeord er %s"
"The password cannot be empty.","Kodeord må ikke være tomt."
"The password fields cannot be empty.","Passwordfeltet skal udfyldes."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Adgangskoden skal være på mindst 6 tegn. Mellemrum før og efter ignoreres."
"The suffix that goes after name (Jr., Sr., etc.)","Suffix efter navnet (hr., fru etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titel før navnet (hr., fru etc.)"
"There are no items in customer's wishlist at the moment","Der er ingen varer på kundens ønskeseddel i øjeblikket"
"There are no items in customer\'s shopping cart at the moment","Der er ingen varer i kundens indkøbskurv i øjeblikket"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Der findes allerede en konto med denne e-mail-adresse. Hvis du er sikker på at det er din adresse så <a href=""%s"">klik her</a> for at få tilsendt dit kodeord."
"There was an error validating the VAT ID.","Der skete en fejl ved validering af momsnummeret."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Der skete en fejl ved validering af momsnummeret. Kunden tilhører kundegruppen %s."
"This account is not confirmed.","Denne konto er ikke bekræftet."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Denne konto er ikke bekræftet. <a href=""%s"">Klik her</a> for at få udsendt bekræftelsesmailen igen."
"This customer email already exists","Denne kundemail findes allerede"
"This customer has no saved addresses.","Der er ingen adresser gemt for denne kunde."
"This email does not require confirmation.","Denne e-mail kræver ikke bekræftelse."
"This email will be sent instead of default welcome email, after account confirmation.","Denne e-mail sendes i stedet for standardvelkomsten, efter bekræftelse af konto."
"This is My Default %s Address","Dette er min standard-%sadresse"
"To Cart","Gå til din indkøbskurv"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","For at vise momsnummeret i frontend, sæt Vis momsnummer i frontend til Ja."
"Type","Type"
"Unknown","Ukendt"
"Unsubscribe from Newsletter","Frameld nyhedsbrev"
"Update","Opdater"
"Update customer address data","Opdater adresseinfo for kunde"
"Update customer data","Opdater kundedata"
"Use as My Default %s Address","Brug som min standard-%sadresse"
"Use as My Default Billing Address","Brug som min standard betalingsadresse"
"Use as My Default Shipping Address","Brug som min standard leveringsadresse"
"Use as my default billing address","Brug som min standard betalingsadresse"
"Use as my default shipping address","Brug som min standard leveringsadresse"
"VAT Number","Momsnummer"
"VAT Request Date","Dato for momsnummeropslag"
"VAT Request Identifier","ID for momsnummeropslag"
"Validate VAT Number","Valider momsnummer"
"Validate on Each Transaction","Valider for hver transaktion"
"Validation Error Group","Gruppe for fejlvalidering"
"View","Vis"
"View Order","Vis ordre"
"Visitor","Besøgende"
"Visitors Only","Kun for gæster"
"Website","Website"
"Welcome Email","Velkomst-e-mail"
"Wishlist","Ønskeseddel"
"Wishlist - %d item(s)","Ønskeseddel - %d vare(r)"
"Would you like to change the Customer Group for this order?","Vil du ændre kundegruppen for denne ordre?"
"Wrong confirmation key.","Forkert bekræftelsesnøgle."
"Wrong customer account specified.","Forkert kundekonto angivet."
"Wrong email.","Forkert e-mail."
"Wrong transactional account email type","Forkert e-mailtype for transkationskonto"
"YYYY","ÅÅÅÅ"
"Year","År"
"You are currently not subscribed to any newsletter.","Du er i øjeblikket ikke tilmeldt vores nyhedsbrev."
"You are currently not subscribed to our newsletter.","Du er ikke tilmeldt vores nyhedsbrev"
"You are currently subscribed to 'General Subscription'.","Du er i øjeblikket tilmeldt 'Generelt abonnement'."
"You are currently subscribed to our newsletter.","Du er tilmeldt vores nyhedsbrev"
"You are now logged out","Du er nu logget ud"
"You have logged out and will be redirected to our homepage in 5 seconds.","Du er logget ud og vil blive sendt til vores forside indenfor 5 sekunder."
"You have no additional address entries in your address book.","Du har ikke yderligere adresser i din adressebog"
"You have no additional entries in your address book.","Du har ikke yderligere adresser i din adressebog"
"You have no default billing address in your address book.","Du har ikke en standard betalingsadresse i din adressebog"
"You have no default entries in your address book.","Der er ingen standardadresser i din adressebog."
"You have no default shipping address in your address book.","Du har ikke en standard leveringsadresse i din adressebog"
"You have not set a default billing address.","Du har ikke valgt en standard betalingsadresse."
"You have not set a default shipping address.","Du har ikke valgt en standard leveringsadresse."
"You have placed no orders yet.","Ingen ordrer endnu..."
"You have placed no products yet.","Du har ikke ingen produkter i kurven."
"You will be charged tax.","Du vil blive opkrævet moms."
"You will not be charged tax.","Du vil ikke blive opkrævet moms."
"Your Tax ID cannot be validated.","Dit momsnummer kan ikke valideres."
"Your VAT ID was successfully validated.","Dit momsnummer er valideret korrekt."
"Your account balance is: %s","Din kontobalance er: <strong>%s</strong>"
"Your password has been updated.","Dit kodeord er opdateret."
"Your password reset link has expired.","Dit link til nulstilling af kodeord er udløbet."
"ZIP","Postnr."
"ZIP/Post Code","Postnummer"
"Zip/Postal Code","Postnummer"
"n/a","Ikke tilgængelig"
"or","eller"
"%s Item(s)","%s vare(r)"
"© 2012 Magento Demo Store. All Rights Reserved.","© 2012 Magento Demo Store. Alle rettigheder forbeholdes."
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre værdien"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Klik på en tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en af ovenstående knapper for hurtigere udvælgelse."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske"
"- or click and drag for faster selection.","- eller klik og træk for hurtigere udvælgelse."
"-- Please Select --","-- Vælg venligst --"
"1 column","1 kolonne"
"2 columns with left bar","2 kolonner med venstrebjælke"
"2 columns with right bar","2 kolonner med højrebjælke"
"3 columns","3 kolonner"
"About the calendar","Om kalenderen"
"All Empty Layout Pages","Alle sider med tomt layout"
"All One-Column Layout Pages","Alle sider med én kolonne"
"All Pages","Alle sider"
"All Pages (Print Version)","Alle sider (printversion)"
"All Three-Column Layout Pages","Alle sider med tre kolonner"
"All Two-Column Layout Pages (Left Column)","Alle sider med 2 kolonner (venstre)"
"All Two-Column Layout Pages (Right Column)","Alle sider med 2 kolonner (højre)"
"Allow","Tillad"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">her</a> hvis der ikke sker noget"
"Close","Luk"
"Close Window","Luk vindue"
"DHTML Date/Time Selector","DHTML dato/tidsvælger"
"Date selection:","Datovalg:"
"Default Description","Standardbeskrivelse"
"Default welcome msg!","Velkommen til butikken!"
"Display %s first","Vis %s først"
"Distributed under GNU LGPL. See %s for details.","Udgivet under GNU LGPL. Se %s for detaljer."
"Drag to move","Træk for at flytte"
"Empty","Tom"
"For latest version visit: %s","For den seneste version, se: %s"
"Free Shipping on orders over 50$","Gratis levering på ordrer over 50$"
"Go Today","Prøv i dag"
"Help Us to Keep Magento Healthy","Hjælp os med at holde Magento fejlfri"
"Interface Language","Sprog"
"JavaScript seems to be disabled in your browser.","Det lader til at JavaScript er deaktiveret i din browser."
"Left Column","Venstre kolonne"
"Main Content Area","Hovedindhold"
"Navigation Bar","Navigationsbjælke"
"Next","Næste"
"Next month (hold for menu)","Næste måned (hold for menu)"
"Next year (hold for menu)","Næste år (hold for menu)"
"Page Bottom","Bunden af siden"
"Page Footer","Footer"
"Page Header","Header"
"Page Top","Toppen af siden"
"Page:","Side:"
"Prev. month (hold for menu)","Forrige måned (hold for menu)"
"Prev. year (hold for menu)","Forrige år (hold for menu)"
"Redirecting...","Omdirigerer..."
"Report All Bugs","Indrapporter alle fejl"
"Right Column","Højre kolonne"
"Select Store","Vælg shop"
"Select Store:","Vælg butik:"
"Select date","Vælg dato"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demoshop. Ordrer afgivet igennem denne shop vil ikke blive gennemført."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Dette website gør brug af cookies til en række funktioner. For yderligere oplysninger om hvilke data cookien indeholder, se vores <a href=""%s"">persondatapolitik</a>. Klik tillad nedenfor, for at acceptere cookies fra dette website."
"Time selection:","Tidsvalg:"
"Time:","Tid:"
"Welcome, %s!","Velkommen, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Du skal have JavaScript slået til i din browser for at kunne bruge alle funktionerne på dette website."
"Your Language","Dit sprog"
"Your Language:","Dit sprog:"
"per page","pr. side"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Rating","Tilføj ny karakter"
"Assigned Options","Tildelte muligheder"
"Be the first to review this product","Vær den første til at bedømme dette produkt"
"Default Value","Standardværdi"
"Delete Rating","Slet karakter"
"Edit Rating","Rediger karakter: %s"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Hvis du ikke angiver en karaktertitel for en butik bruges standardværdien."
"Manage Ratings","Administrer karakterer"
"New Rating","Ny karakter"
"Option Label","Label"
"Option Title","Titel"
"Option Title:","Titel:"
"Please select one of each ratings above","Vælg venligst en af bedømmelserne ovenfor."
"Rating Information","Karakter - detaljer"
"Rating Name","Navn"
"Rating Options","Indstillinger for karakter"
"Rating Title","Navn"
"Rating Visibility","Synlighed - bedømmelse:"
"Rating isn't Available","Karakter er ikke tilgængelig"
"Rating with the same title","Bedømmelse med samme overskrift"
"Save Rating","Gem karakter"
"Sort Order","Sorteringsrækkefølge"
"Visible In","Synlig i"
"%d Review(s)","%d bedømmelse(r)"
"%s Review(s)","%s bedømmelse(r)"
"(Posted on %s)","(Indsendt den %s)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Tilføj bedømmelse"
"Add Your Review","Bedøm selv"
"Administrator","Administrator"
"All Reviews","Alle anmeldelser"
"All Reviews of Customer `%s`","Alle bedømmelser fra kunden `%s`"
"All Reviews of Product `%s`","Alle bedømmelser af produktet `%s`"
"Allow Guests to Write Reviews","Tillad gæster at skrive bedømmelser"
"Are you sure you want to do this?","Er du sikker på, at du ønsker at udføre denne handling?"
"Are you sure?","Er du sikker?"
"Average Customer Rating","Gennemsnitskarakter"
"Average Customer Rating:","Gennemsnitskarakter:"
"Back","Tilbage"
"Back to Main Product Info","Tilbage til produktside"
"Back to My Reviews","Tilbage til Mine bedømmelser"
"Back to Product Reviews","Tilbage til bedømmelser"
"Be the first to review this product","Vær den første til at bedømme dette produkt"
"Catalog Product Review View","Produktbedømmelse"
"Catalog Product Reviews List","Produktbedømmelse, liste"
"Created On","Oprettet den"
"Customer","Kunde"
"Customer My Account Product Reviews","Min konto, bedømmelser"
"Customer My Account Review Details","Min konto, detaljer for bedømmelse"
"Customer Reviews","Bedømmelser"
"Customers Reviews","Kunders bedømmelser"
"Delete","Slet"
"Delete Review","Slet bedømmelse"
"Detailed Rating","Karakterer"
"Edit Review '%s'","Rediger bedømmelsen '%s'"
"Guest","Gæst"
"How do you rate this product?","Giv produktet karakterer"
"ID","ID"
"Manage Ratings","Administrer karakterer"
"My Product Reviews","Mine bedømmelser"
"My Recent Reviews","Mine seneste bedømmelser"
"Name","Navn"
"Name in Store","Navn i forretning"
"New Review","Ny bedømmelse"
"Nickname can\'t be empty","Alias skal udfyldes"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Kun registrerede brugere kan skrive bedømmelser. <a href=""%s"">Log ind</a> eller <a href=""%s"">registrer</a>"
"Pending Reviews","Manglende godkendelse"
"Pending Reviews of Customer `%s`","Bedømmelser fra `%s` der mangler godkendelse"
"Please select a product","Vælg venligst et produkt"
"Please select one of each of the ratings above","Giv venligst din karakter til alle områder ovenfor"
"Posted By","Skrevet af"
"Product","Produkt"
"Product Rating","Karakterer"
"Product Rating:","Produktkarakter:"
"Product Review (submitted on %s):","<strong>Bedømmelse</strong> (indsendt den %s):"
"Product Reviews","Bedømmelser"
"Product SKU","Produktets varenummer"
"Qty","Antal"
"Rating:","Karakter:"
"Review","Bedømmelse"
"Review (submitted on %s):","Bedømmelse (indsendt %s):"
"Review Details","Bedømmelse"
"Review Form Fields Before","Bedømmelsesfelter før"
"Review by <span>%s</span>","Bedømt af <span>%s</span>"
"Review can\'t be empty","Bedømmelse skal udfyldes"
"Review summary can\'t be empty","Bedømmelsesresumé skal udfyldes"
"Reviews and Ratings","Bedømmelser og karakterer"
"SKU","Varenummer"
"Save Review","Gem bedømmelse"
"Status","Status"
"Submit Review","Indsend bedømmelse"
"Summary Rating","Gennemsnitskarakter"
"Summary of Review","Resumé af din anmeldelse"
"Summary of Your Review","Resumé af din anmeldelse"
"Title","Titel"
"Type","Type"
"Unable to post the review.","Kan ikke gemme anmeldelsen."
"Update Status","Opdater status"
"View Details","Se detaljer"
"Visible In","Synlig i"
"Websites","Websites"
"Write Your Own Review","Indsend din bedømmelse"
"You have submitted no reviews.","Du har ikke bedømt varer endnu"
"Your Rating:","Dine karakterer:"
"Your Review (submitted on %s):","<strong>Din bedømmelse</strong> (indsendt den %s):"
"Your review has been accepted for moderation.","Din bedømmelse er modtaget og afventer godkendelse."
"Design now!","Design nu!"
"Delivery and payment","Levering og betaling"
"Apply Discount Code","Rabatkoder"
"Enter discount code","Indtast din rabatkode her."
"Apply Discount","Anvend kupon"
"Cart Subtotal","Kurv Subtotal"
"Shipping","Forsendelse"
"Order Total","Total"
"My billing and shipping address are the same","Min fakturerings- og leveringsadresse er den samme"
"Existing customer? Log in to your account","Allerede kunde? Log ind på din konto"
"Start typing your address or zip/postal code","Begynd at skrive din adresse eller postnummer"
"Not yet calculated","Endnu ikke beregnet"
"Checkout Review","Checkout anmeldelse"
"Newsletter Subscriptions", "Nyhedsbrev Abonnementer"
"Privacy Settings", "Privatindstillinger"
"Select location","Vælg placering"
"To place your order, you must agree to the terms and conditions.","For at afgive din ordre skal du acceptere vilkårene og betingelserne."
"Enter Keyword or Item","Indtast nøgleord eller element"
"Search entire store here...","Søg i hele butikken her..."
"Bestsellers", "Bestsellere"
"Your search returned no products.","Din søgning gav ingen produkter."
"Search results for: '%1'","Søgeresultater for: '%1'"
"Recently Viewed Products","Nyligt Viste Produkter"
"Your search returned no results.","Din søgning gav ingen resultater."
"per page","pr. side"
"Did you mean","Mente du"
"Related Terms","Relaterede Vilkår"
"This is a required field.","Dette er et obligatorisk felt."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Ordren blev ikke afgivet. Accepter først vilkårene og forsøg derefter at placere din ordre igen."
"Change Country", "Skift land"
"Order now and your order will be shipped on %s!","Bestil nu, og din ordre sendes videre %s!"
"Order now and your order will be shipped on %1!","Bestil nu, og din ordre sendes videre %1!"
"You added %s to your shopping cart.","Du føjede %s til din indkøbskurv."
"You added %1 to your shopping cart.","Du føjede %1 til din indkøbskurv."
"We can't add this item to your shopping cart right now.","Vi kan ikke føje denne vare til din indkøbskurv lige nu."
"Print receipt", "Udskriv kvittering"
"Your order # is: %1.", "Din ordrenummer er: %1."
"We'll email you an order confirmation with details and tracking info.", "Vi sender dig en ordrebekræftelse med detaljer og sporingsinformation via e-mail."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Vi forventer at sende din ordre på %1, og din ordre leveres på %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Vi forventer at sende din ordre på %1, og din ordre vil blive leveret mellem %2 og %3."
"We expect to ship your order on %1.", "Vi forventer at sende din ordre på %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","Det anmodede antal overstiger det maksimale antal, der er tilladt i indkøbskurven"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på, at du vil fjerne denne vare fra indkøbskurven?"
"The shipping method is missing. Select the shipping method and try again.","Forsendelsesmetoden mangler. Vælg forsendelsesmetode, og prøv igen."
"Back to Store","Tilbage til butik"
"For delivery questions.","For leveringsspørgsmål."
"Ship here","Send her"
"Some addresses can't be used due to the configurations for specific countries.","Nogle adresser kan ikke bruges på grund af konfigurationerne for bestemte lande."
"An error occurred on the server. Please try to place the order again.","Der opstod en fejl på serveren. Prøv at placere ordren igen."
"Submit chosen location","Indsend den valgte placering"
"Pickup locations found","Afhentningssteder fundet"
"Filter pickup locations","Filtrer afhentningssteder"
"Postcode, city, street, house","Postnummer, by, gade, hus"
"Late open (after: 18:00)","Sen åben (efter: 18:00)"
"Open early (before 9:00)","Åben tidligt (før 9:00)"
"Open on Sunday","Åben søndag"
"Choose a pickup location","Vælg et afhentningssted"
"I would like to receive a new one","Jeg vil gerne modtage en ny"
"I would like to get a refund","Jeg vil gerne få en refusion"
"Select subcategory", "Vælg underkategori"
"Choose your solution", "Vælg din løsning"
"Print quality","Udskriftskvalitet"
"Product quality (item)","Produktkvalitet (vare)"
"Wrong product (does not fit)","Forkert produkt (passer ikke)"
"It is not what I expected","Det er ikke, hvad jeg forventede"
"Package not yet arrived","Pakken er endnu ikke ankommet"
"Choose another Topic","Vælg et andet emne"
"Need help? Contact us here", "Har du brug for hjælp? Kontakt os her"
"Contact with Gocustomized support", "Kontakt med Gocustomized support"
"Hi %1, please specify your support request", "Hej %1, angiv venligst din anmodning om support"
"Hi %1, how can we help you?", "Hej %1, hvordan kan vi hjælpe dig?"
"I need assistance with", "Jeg har brug for hjælp til"
"My received product(s)", "Mine modtagne produkter"
"My delivery", "Min levering"
"Cancel order", "Aflys ordre"
"Others", "Andre"
"Please select your question or complaint", "Vælg venligst dit spørgsmål eller din klage"
"Contact", "Kontakt"
"How can we help you?", "Hvordan kan vi hjælpe dig?"
"DIRECT CUSTOMER SUPPORT", "DIREKTE KUNDESUPPORT"
"Login", "Log ind"
"Please login to continue with direct support.", "Log venligst ind for at fortsætte med direkte support."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Er du (endnu) ikke kunde? Du kan komme i kontakt med vores support <a href=""javascript:otherQuestion()"">her</a>"
"Next", "Næste"
"Other", "Andet"
"change", "ændre"
"Please fill in the required fields", "Udfyld venligst de obligatoriske felter"
"View all topics","Se alle emner"
"Question related to","Spørgsmål om"
"My preferred solution","Min foretrukne løsning"
"Upload an image","Lav et billede af dit køb for at vise dit problem tydeligt"
"Description of the issue","Beskrivelse af problemet"
"Please note that we can only cancel your order if we did not start printing and shipping your product.","Bemærk venligst, at vi kun kan annullere din ordre, hvis vi ikke er begyndt at trykke og sende dit produkt."
"Didn't find what you're looking for?","Fandt du ikke det, du leder efter? Kontakt os for direkte support"
"contact us","Kontakt os"
"Topics","Emner"
"Search for help by topic, keywords","Populære emner: forsendelse, returnering, betaling"
"Popular topics:","Populære emner:"
"return","returneringer"
"shipping","fragt"
"payment","betal"
"Cash On Delivery","Kontant ved levering"
"Credit Card","Kreditkort"
"Shipping & Handling","Levering & Håndtering"
"not_tracked","Uden sporing"
"tracked_without_sign","Spores uden signatur"
"tracked_with_sign","Spores med signatur"
"moneyback_guarantee","Garanteret levering"
"Estimated delivery:","Forventet Levering:"
"Estimated delivery","Forventet Levering"
"You aren't subscribed to our newsletter.","Du er i øjeblikket ikke tilmeldt vores nyhedsbrev."
"Go back","Gå tilbage"
"You saved the account information.","Du har gemt kontooplysningerne."
"You have placed no orders.","Du har ikke lagt nogen ordrer."
"Subscription option","Abonnementsmulighed"
"Policies text","Politik tekst"
"Read Privacy Policy","Læs fortrolighedspolitik"
"Read Cookie Policy","Læs Cookiepolitik"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Her kan du downloade en kopi af dine personlige data, som vi gemmer til din konto i CSV -format."
"Download","Hent"
"Anonymise personal data","Anonymiser personoplysninger"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","Anonymisering af dine personoplysninger betyder, at de bliver udskiftet
                        med ikke-personlige anonyme oplysninger, og inden det får du din
                        nyt login til din e-mail-adresse (din adgangskode forbliver den samme). Efter denne proces,
                        din e-mail-adresse og alle andre personlige data vil blive fjernet fra webstedet."
"I agree and I want to proceed","Jeg er enig, og jeg vil fortsætte"
"Proceed","Fortsæt"
"Delete account","Slet konto"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Anmodning om at fjerne din konto sammen med alle dine personlige data,
                         vil blive behandlet af vores personale. <br> Hvis du sletter din konto, fjernes alt køb
                         historik, rabatter, ordrer, fakturaer og alle andre oplysninger, der kan være relateret til din
                         konto eller dine køb. <br> Alle dine ordrer og lignende oplysninger vil være
                         tabt. <br> Du kan ikke gendanne adgangen til din konto efter
                         vi godkender din anmodning om fjernelse."
"I understand and I want to delete my account","Jeg forstår, og jeg vil slette min konto"
"Submit request","Send forespørgsel"
"Please select a region, state or province.","Vælg en region, stat eller provins."
"You updated your password.","Du har opdateret din adgangskode."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Hvis der er en konto tilknyttet %1, modtager du en e -mail med et link til nulstilling af din adgangskode."
"You have no other address entries in your address book.","Du har ingen andre adresseposter i din adressebog."
"Ship To","Send til"
"Reorder","Ombestil"
"Recently Ordered","Nyligt bestilt"
"View All","Se alt"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Konton-login var forkert, eller din konto er midlertidigt deaktiveret. Vent venligst, og prøv igen senere."
"Hi %s, Please include as much detail as possible","Hej %s, medtag så mange detaljer som muligt"
"You will be redirected to the PayPal website.","Du bliver omdirigeret til PayPal-webstedet."
"Select Store:","Vælg Butik:"
"Items Ordered","Varer bestilt"
"Order information","Ordreinformation"
"You have signed out and will go to our homepage in 5 seconds.","Du har logget ud og vil gå til vores hjemmeside om 5 sekunder."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimumslængden af ​​dette felt skal være lig med eller større end %1 symboler. Ledende og bageste mellemrum ignoreres."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum af forskellige klasser af tegn i adgangskoden er %1. Tegnklasser: Små bogstaver, store bogstaver, cifre, specialtegn."
"Please enter the same value again.","Venligst indtast den samme værdi igen."
"The minimum password length is %s","Den mindste adgangskodelængde er %s"
"Please enter your email address below to receive a password reset link.","Indtast venligst din e-mail adresse herunder for at modtage et link til nulstilling af adgangskode."
"Set a New Password","Indstil en ny adgangskode"
"Thanks for reaching out to us we'll soon be in contact.","Tak fordi du kontaktede os, vi vil snart kontakte dig."
"Welcome to","Velkommen til"
"Welcome to %store_name.","Velkommen til %store_name."
"Welcome to %store_name","Velkommen til %store_name"
"Welcome to %s.","Velkommen til %s."
"Welcome to %1.","Velkommen til %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","For at logge ind på vores websted og oprette en adgangskode, skal du klikke på <a href=""%create_password_url"">linket</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","For at logge ind på vores websted og oprette en adgangskode, skal du klikke på <a href=""%s"">linket</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","For at logge ind på vores websted og oprette en adgangskode, skal du klikke på <a href=""%1"">linket</a>:"
"Email:","Email:"
"When you sign in to your account, you will be able to:","Når du logger ind på din konto, vil du være i stand til at:"
"Proceed through checkout faster","Komme hurtigere gennem kassen"
"Check the status of orders","Kontrollere status for ordrer"
"View past orders","Se tidligere ordrer"
"Store alternative addresses (for shipping to multiple family members and friends)","Gemme alternative adresser (til forsendelse til flere familiemedlemmer og venner)"
"Thank you, %store_name","Tak, %store_name"
"Thank you, %s","Tak, %s"
"Thank you, %1","Tak, %1"
"Invoices","Fakturaer"
"Order Shipments","Bestil forsendelser"
"Back to My Orders","Tilbage til Mine ordrer"
"Order # %1","Bestil # %1"
"Print All Invoices","Udskriv alle fakturaer"
"Invoice #","Faktura nr."
"Print Invoice","Udskriv faktura"
"Qty Invoiced","Antal Faktureret"
"Order Information","Ordreinformation"
"You submitted your review for moderation.","Du har indsendt din anmeldelse til moderering."
"Print All Shipments","Udskriv alle forsendelser"
"Shipment #","Forsendelse #"
"Shipment #%1","Forsendelse #%1"
"Print Shipment","Udskriv forsendelse"
"Track this shipment","Spor denne forsendelse"
"Qty Shipped","Antal afsendt"
"Refunds","Tilbagebetalinger"
"Print All Refunds","Udskriv alle refusioner"
"Refund #","Refusion #"
"Refund #%1","Refusion #%1"
"Print Refund","Udskriv refusion"
"Discount Amount","Rabatbeløb"
"Row Total","Total"
"Discount (%1)","Rabat (%1)"
"Make a picture of your purchase to clearly illustrate your issue","Lav et billede af dit køb for tydeligt at illustrere dit problem"
"Upload","Upload"
"Request to change delivery address","Jeg ønsker at ændre min leveringsadresse"
"Request for cancellation","Jeg vil annullere min ordre"
"Add Accessories To Your Order","TILFØJ TILBEHØR TIL DIN BESTILLING"
"Business Order?","Forretningsordre?"
"Wrong product","Jeg har bestilt det forkerte produkt"
"Changed mind","Jeg har skiftet mening"
"I have a question about","Jeg har et spørgsmål om"
"Summary of your Review","Resumé af din anmeldelse"
"Welcome, %1!","Velkommen, %1!"
"Shipments","Forsendelser"
"View all reviews","Se alle anmeldelser"
"View All Reviews","Se Alle Anmeldelser"
"I Agree","Jeg er enig"
"Your coupon was successfully applied.","Uw coupon is succesvol toegepast."
"Your coupon was successfully removed.","Uw coupon is succesvol verwijderd."
"Your order number is: %1","Uw bestelnummer is: %1"
"Your order # is: <span>%1</span>.","Uw bestelnummer is: <span>%1</span>."
"We\'ll email you an order confirmation with details and tracking info.","We sturen je een orderbevestiging met details en trackinginformatie."
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%1"" onclick=""this.target=\'_blank\'"">hier om</a> een kopie van uw orderbevestiging af te drukken."
"%1 was updated in your shopping cart.","%1 is bijgewerkt in uw winkelwagen."
"I have a question about","Jeg har et spørgsmål vedr"
"How Do You Rate This Product?","Giv produktet karakterer"
"Ship Here","Send her"
"Cancel coupon","Annuller rabatkupon"
"Password Strength","Adgangskodestyrke"
"No Password","Ingen adgangskode"
"Weak","Svag"
"Medium","Medium"
"Strong","Stærk"
"Very Strong","Meget stærk"
