"Design now!","Gör eget skal!"
"Create Billing Address","Skapa fakturaadress"
"Payment profile # %s: ""%s"".","Betalningsprofil # %s: ""%s""."
"An error occurred while saving this condition.","Ett fel uppstod medan villkoret sparades."
"Enable Onepage Checkout","Aktivera snabbkassan"
"Continue","Nästa"
"Add to Wishlist","Lägg till önskelista"
"Your order has been received","Din beställning är mottagen"
"Separate by "","".","Avgränsa med "
"Street Address %s","Gatuadress %s"
"Disabled","Inaktiverad"
"Please select shipping address for applicable items","Vänligen välj leveransadress"
"Back to Shopping Cart","Tillbaka till varukorgen."
"Excl. Tax","Exkl moms"
"Checkout Section","Kassadel"
"There was an error processing your order. Please contact us or try again later.","Ett fel uppstod när din beställning skulle behandlas. Vänligen kontakta oss eller försök igen senare."
"Review Order","Granska beställning"
"Change","Ändra"
"Loading next step...","Laddar nästa steg..."
"Shipping method has not been selected yet","Något leveranssätt har inte valts än"
"Payment Failed Email Reciever","Betalning misslyckades e-postmottagare"
"Text","Text"
"Easy access to your order history and status","Snabb åtkomst till historik och status för dina beställningar"
"Quote Lifetime (days)","Offertens varaktighet (dagar)"
"Cannot add the item to shopping cart","Det går inte att lägga produkten i varukorgen."
"ID","Id"
"Close","Stäng"
"Update Shopping Cart","Uppdatera varukorgen"
"Select Addresses","Välj adresser"
"Multishipping Checkout Shipping Address Selection","Val av multipla leveransadresser "
"Show Content as","Visa innehåll som"
"Coupon code ""%s"" was applied.","Kupongkoden ""%s"" har applicerats."
"Payment Methods Before Checkout Button","Betalsätt före utcheckningsknapp"
"An error occurred in the process of payment","Ett fel uppstod i betalningsprocessen"
"Edit Your Cart","Ändra i din varukorg"
"Items Before","Artiklar före"
"Content Height","Innehåll höjd"
"Your billing agreement # is: %s.","Din faktureringsavtal # är: %s."
"Send To","Skicka till"
"One Page Checkout","Snabbkassa"
"Store View","Butiksvy"
"Delete Condition","Ta bort villkor"
"Please log in below:","Vänligen logga in nedan:"
"Back to Select Addresses","Tillbaka till val av adresser"
"Enable Terms and Conditions","Aktivera köpvillkor"
"Checkout Method","Välj köpmetod"
"There are <a href=""%s"">%s items</a> in your cart.","Det finns <a href=""%s"">%s produkter</a> i din varukorg."
"Remove Item","Ta bort artikel"
"Cart Api","Varukorg Api"
"Shipping Methods","Leveranssätt"
"Overview Items After","Översikt artiklar efter"
"Terms and Conditions Information","Information om köpvillkor"
"Display item quantities","Visa antal artiklar"
"Proceed to Checkout","Gå till kassan"
"Cancel Coupon","Använd inte kupong"
"Grand Total:","Totalsumma:"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klicka <a href=""%s"" onclick=""this.target=\'_blank\'"">här</a> för att skriva ut en kopia av din orderbekräftelse."
"Unit Price","Enhetspris"
"Select Address","Välj adress"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalt antal för leverans till flera adresser är %s"
"Shopping Cart Sidebar","Miniatyrvarukorg"
"Country","Land"
"Payment Method","Betalsätt"
"Allow Guest Checkout","Tillåt gäster att använda kassan"
"Register","Registrera"
"Cannot update shopping cart.","Det går inte att uppdatera varukorgen."
"Item not found or already ordered","Inga artiklar funna eller redan beställda"
"Confirm Password","Bekräfta lösenord"
"Add New Address","Lägg till ny adress"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du kommer att få en bekräftelse skickat till din e-postadress med detaljerna för din beställning och information om hur du kan spåra försändelsen."
"Send Payment Failed Email Copy Method","Skicka emailkopia betalning misslyckades metod"
"Create shopping cart","Skapa varukorg"
"Please agree to all Terms and Conditions before placing the orders.","Vänligen acceptera köpvillkoren för att kunna beställa."
"Enter a New Address","Ange en ny adress"
"Checkout Conditions","Kassavillkor"
"The onepage checkout is disabled.","Snabbkassan är inaktiverad."
"Edit Shipping Address","Ändra leveransadress"
"Zip/Postal Code","Postnummer"
"Shipping Information","Information om leverans"
"Order Success","Beställningen har lagts"
"Terms and Conditions","Köpvillkor"
"Display Cart Summary","Visa sammanfattning av varukorg"
"Product Name","Produktnamn"
"Billing Information","Fakturaadress"
"Forgot an Item?","Glömt en produkt?"
"Checkout as a Guest or Register","Genomför köp som gäst eller registrera dig"
"Total for this address","Totalt för denna adress"
"Save Condition","Spara villkor"
"Manage Checkout Terms and Conditions","Hantera köpvillkor för kassan"
"Shopping Cart","Varukorg"
"Continue to Review Your Order","Fortsätt för att granska din beställning"
"Address %s of %s","Adress %s av %s"
"The product does not exist.","Produkten finns inte."
"Edit Address","Ändra adress"
"Register to Create an Account","Registrera dig för att skapa ett konto"
"Cannot open the overview page","Det går inte att öppna översiktsidan."
"Invalid method: %s","Ogiltlig metod: %s"
"Configurable Product Image","Bild för konfigurerbar produkt"
"* Required Fields","* Obligatoriska fält"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","En orderbekräftelse skickas så snart vi behandlat din order. När ordern levereras skickar vi även en leveransbekräftelse. I leveransbekräftelsen bifogas kolli-id och en länk så att du kan följa försändelsen."
"Select a billing address from your address book or enter a new address.","Välj fakturasadress från adressboken eller ange en ny adress."
"My Cart (%s items)","Min varukorg (%s artiklar)"
"Some products quantities were recalculated because of quantity increment mismatch","Vissa produkters kvantiteter har omräknats på grund av mängdens ökning"
"Create Shipping Address","Skapa en leveransadress"
"Place Order","Lägg beställning"
"Apply Coupon","Använd kupong"
"Enter your destination to get a shipping estimate.","Välj destination för att få en uppskattad fraktkostnad."
"Change Billing Address","Ändra fakturaadress"
"Payment Failed Template","Betalning misslyckades e-postmall"
"Additional Product Info","Ytterligare produktinformation"
"Your order number is ","Ditt beställningsnr är"
"Ship to different address","Leverera till annan adress"
"One Page Checkout Success","Utcheckning lyckad "
"Submitting order information...","Skickar information om beställning..."
"Details","Detaljer"
"Based on your selection, you may be interested in the following items:","Utifrån produkterna du redan tittat på, vill vi rekommendera dessa:"
"Fast and easy check out","Gå till snabbkassan"
"Checkout Terms and Conditions","Köpvillkor kassa"
"This condition no longer exists.","Detta villkor finns inte längre."
"Remove item","Ta bort artikel"
"Shipping To","Leverans till"
"Payment Failed Email Sender","Betalning misslyckades e-postsändare"
"Thank you for your purchase!","Tack för din beställning!"
"Quantity was recalculated from %d to %d","Kvantitet räknades om från %d till %d"
"Cannot add the item to shopping cart.","Det går inte att lägga till produkten i varukorgen."
"HTML","HTML"
"Click <a href=""%1"">here</a> to continue shopping.","Klicka <a href=""%1"">här</a> för att fortsätta handla."
"Update Total","Uppdatera total"
"Select State/Province...","Välj region..."
"My Cart","Varukorgen"
"Some of the requested products are not available in the desired quantity.","Några av de efterfrågade produkterna är inte tillgängliga i önskad mängd."
"Coupon code was canceled.","Kupongkoden avbröts."
"Payment method is not defined","Betalsätt har inte angetts"
"An error occurred while deleting this condition.","Ett fel uppstod när villkoret togs bort."
"Email Address","E-postadress"
"Content Height (css)","Innehåll höjd (css)"
"Add to Compare","Lägg till jämförelse"
"Your order # is: %s.","Ditt ordernr är: %s."
"Ship to Multiple Addresses","Leverera till flera adresser"
"Order Review","Granska beställning"
"Street Address","Gatuadress"
"Default Shipping","Förvald frakt"
"Please select region, state or province","Vänligen välj region"
"Back to Shipping Information","Tillbaka till leveransinformation"
"Estimate Shipping and Tax","Beräkna frakt och moms"
"Checkout Options","Alternativ för kassa"
"There is <a href=""%s"">1 item</a> in your cart.","Det finns <a href=""%s"">1 vara</a> i din varukorg."
"Remove This Item","Ta bort denna produkt."
"Cart Subtotal:","Totalt:"
"Load customer quote error","Et fel uppstod när offert för kunden skulle laddas"
"%s was successfully added to your shopping cart.","%s placerades i din varukorg."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Det finns <a href=""%s""><strong>1 vara</strong></a> i din varukorg."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Det finns <a href=""%s""><strong>%s varor</strong></a> i din varukorg."
"Checkout method","Välj köpmetod"
"Shopping bag", "Varukorg"
"%s items, %s", "%s varor, %s"
"Thank You", "Tack"
"We have received your order.", "Vi har tagit emot din beställning."
"Your order number is: <a href=""%s"">%s</a>", "Ditt ordernummer är: <a href=""%s"">%s</a>"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.", "Klika <a href=""%s"" onclick=""this.target='_blank'"">här för att skriva ut</a> en kopia av orderbekräftelsen."
"Login here", "Logga in här"
"Display number of items in wishlist","Visa antal produkter i önskelista"
"%1 Item","%1 artikel"
"%1 Item(s)","%1 artikel(en)"
"Page","Pagina"
"Bestsellers","Bästsäljare"
"Devices", "Apparat"
"Case Type", "Skal typ"
"About Us", "Om Oss"
"Search entire store here...", "Sök i hela butiken här..."
"Delivery and payment","Betalning och leverans"
"Phone Number","Telefonnumer"
"My billing and shipping address are the same","Min fakturerings- och leveransadress är densamma"
"Shipping Methods","Leveranssätt"
"Payment Method","Betalsätt"
"Apply Discount Code","Rabattkoder"
"Enter discount code","Ange din rabattkod om du har någon."
"Apply Discount","Använd kupong"
"Product name","Produkt"
"Cart Subtotal","Kundvagn Delsumma"
"Shipping","Leverans"
"Order Total","Totalsumma"
"Place Order","Beställa"
"Existing customer? Log in to your account","Redan kund? Logga in med ditt konto"
"Start typing your address or zip/postal code","Börja skriva din adress eller postnummer"
"Not yet calculated","Ännu inte beräknat"
"Checkout Review","Kassan granskning"
"Newsletter Subscriptions", "Prenumerationer på nyhetsbrev"
"Privacy Settings", "Sekretessinställningar"
"Select location","Välj plats"
"To place your order, you must agree to the terms and conditions.","För att göra din beställning måste du godkänna villkoren."
"Enter Keyword or Item","Ange nyckelord eller objekt"
"Items %1-%2 of %3 total","Artiklarna %1-%2 av totalt %3"
"%1 Item","%1 Artikel"
"%1 Items","%1 Artiklar"
"Search results for: '%1'","Sökresultat för: '%1'"
"Recently Viewed Products","Nyligen Visade Produkter"
"Your search returned no results.","Din sökning gav inga resultat."
"Did you mean","Menade du"
"Related Terms","Relaterade Termer"
"This is a required field.","Detta är ett obligatoriskt fält."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Beställningen gjordes inte. Först godkänner du villkoren och försöker sedan göra din beställning igen."
"Bestsellers", "Bästsäljare"
"Change Country", "Ändra land"
"You added %s to your shopping cart.","Du lade till %s i din kundvagn."
"You added %1 to your shopping cart.","Du lade till %1 i din kundvagn."
"We can't add this item to your shopping cart right now.","Vi kan inte lägga till denna artikel i din kundvagn just nu."
"Print receipt", "Skriv ut kvitto"
"Your order # is: %1.", "Ditt beställningsnummer är: %1."
"We'll email you an order confirmation with details and tracking info.", "Vi skickar en beställningsbekräftelse med information och spårningsinformation."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Vi förväntar oss att din beställning skickas på %1 och din beställning levereras på %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Vi förväntar oss att din beställning skickas på %1 och din beställning levereras mellan %2 och %3."
"We expect to ship your order on %1.", "Vi förväntar oss att din beställning skickas till %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","Det begärda antalet överstiger det högsta tillåtna antalet i kundvagnen"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort denna artikel från kundvagnen?"
"The shipping method is missing. Select the shipping method and try again.","Fraktmetoden saknas. Välj fraktmetod och försök igen."
"Back to Store","Tillbaka till Store"
"For delivery questions.","För leveransfrågor."
"Ship here","Skicka hit"
"Some addresses can't be used due to the configurations for specific countries.","Vissa adresser kan inte användas på grund av konfigurationerna för specifika länder."
"An error occurred on the server. Please try to place the order again.","Ett fel inträffade på servern. Försök att göra beställningen igen."
"Submit chosen location","Skicka vald plats"
"Pickup locations found","Hämtningsplatser hittades"
"Filter pickup locations","Filtrera upphämtningsplatser"
"Postcode, city, street, house","Postnummer, stad, gata, hus"
"Late open (after: 18:00)","Sent öppet (efter: 18:00)"
"Open early (before 9:00)","Öppet tidigt (före 9:00)"
"Open on Sunday","Öppet på söndag"
"Choose a pickup location","Välj en upphämtningsplats"
"I would like to receive a new one","Jag skulle vilja få en ny"
"I would like to get a refund","Jag skulle vilja få en återbetalning"
"Select subcategory", "Välj underkategori"
"Choose your solution", "Välj din lösning"
"Print quality","Utskriftskvalitet"
"Product quality (item)","Produktkvalitet (artikel)"
"Wrong product (does not fit)","Fel produkt (passar inte)"
"It is not what I expected","Det är inte vad jag förväntade mig"
"Package not yet arrived","Paketet har ännu inte kommit"
"Choose another Topic","Välj ett annat ämne"
"Need help? Contact us here", "Behöver du hjälp? Kontakta oss här"
"Contact with Gocustomized support", "Kontakt med Gocustomized support"
"Hi %1, please specify your support request", "Hej %1, ange din supportförfrågan"
"Hi %1, how can we help you?", "Hej %1, hur kan vi hjälpa dig?"
"I need assistance with", "Jag har en fråga angående"
"My received product(s)", "Min mottagna produkt"
"My delivery", "Min leverans"
"Cancel order", "Avbryt beställning"
"Others", "Andra"
"Please select your question or complaint", "Vänligen välj din fråga eller klagomål"
"Contact", "Kontakt"
"How can we help you?", "Hur kan vi hjälpa dig??"
"DIRECT CUSTOMER SUPPORT", "DIREKT KUNDSTÖD"
"Login","Logga in"
"Please login to continue with direct support.", "Logga in för att fortsätta med direkt support."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Inte (ännu) en kund eller en allmän fråga? Kontakta oss <a href=""javascript:otherQuestion()"">här</a>"
"Next", "Nästa"
"Other", "Annat"
"change", "ändra"
"Please fill in the required fields", "Vänligen fyll i de markerade fälten"
"View all topics","Visa alla ämnen"
"Cash On Delivery","Postförskott"
"Credit Card","Kreditkort"
"Shipping & Handling","Leverans"
"You updated your password.","Du har uppdaterat ditt lösenord."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Om det finns ett konto kopplat till %1 får du ett e -postmeddelande med en länk för att återställa ditt lösenord."
"You aren't subscribed to our newsletter.","Du prenumererar inte på vårt nyhetsbrev."
"Go back","Gå tillbaka"
"You saved the account information.","Du sparade kontoinformationen."
"You have placed no orders.","Du har inte lagt några beställningar."
"Subscription option","Prenumerationsalternativ"
"Policies text","Policytext"
"Read Privacy Policy","Läs sekretesspolicy"
"Read Cookie Policy","Läs Cookiepolicy"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Här kan du ladda ner en kopia av dina personuppgifter som vi lagrar för ditt konto i CSV -format."
"Download","Ladda ner"
"Anonymise personal data","Anonymisera personuppgifter"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","Anonymisering av dina personuppgifter innebär att de kommer att ersättas
                        med icke-personlig anonym information och innan dess får du din
                        ny inloggning till din e-postadress (ditt lösenord förblir detsamma). Efter denna process,
                        din e-postadress och alla andra personuppgifter kommer att tas bort från webbplatsen."
"I agree and I want to proceed","Jag håller med och jag vill fortsätta"
"Proceed","Fortsätt"
"Delete account","Radera konto"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Begäran om att ta bort ditt konto, tillsammans med alla dina personuppgifter,
                         kommer att behandlas av vår personal. <br> Om du raderar ditt konto kommer allt köp att tas bort
                         historik, rabatter, beställningar, fakturor och all annan information som kan vara relaterad till din
                         konto eller dina inköp. <br> Alla dina beställningar och liknande information kommer att vara
                         lost. <br> Du kommer inte att kunna återställa åtkomsten till ditt konto efter
                         vi godkänner din begäran om borttagning."
"I understand and I want to delete my account","Jag förstår och jag vill ta bort mitt konto"
"Submit request","Skicka förfrågan"
"You have no other address entries in your address book.","Du har inga andra adressposter i din adressbok."
"Ship To","Frakta till"
"Reorder","Beställ om"
"Recently Ordered","Nyligen beställd"
"View All","Visa alla"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Kontoinloggningen var felaktig eller så är ditt konto inaktiverat tillfälligt. Vänta och försök igen senare."
"Please note that we can only cancel your order if we did not start printing and shipping your product.","Observera att vi bara kan avbryta din beställning om vi inte började skriva ut och skicka din produkt."
"You will be redirected to the PayPal website.","Du kommer att omdirigeras till PayPals webbplats."
"Select Store:","Välj Butik:"
"Items Ordered","Artiklar Beställda"
"Order information","Beställningsinformation"
"You have signed out and will go to our homepage in 5 seconds.","Du har loggat ut och kommer till vår hemsida om 5 sekunder."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minsta längd för detta fält måste vara lika med eller större än %1 symboler. Ledande och bakre utrymmen ignoreras."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minsta antal olika klasser av tecken i lösenordet är %1. Teckenklasser: Små bokstäver, versaler, siffror, specialtecken."
"Please enter the same value again.","Vänligen ange samma värde igen."
"The minimum password length is %s","Minsta lösenordslängd är %s"
"Please enter your email address below to receive a password reset link.","Vänligen ange din e -postadress nedan för att få en länk för återställning av lösenord."
"Set a New Password","Ställ in ett nytt lösenord"
"Welcome to","Välkommen till"
"Welcome to %store_name.","Välkommen till %store_name."
"Welcome to %store_name","Välkommen till %store_name"
"Welcome to %s.","Välkommen till %s."
"Welcome to %1.","Välkommen till %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Klicka på <a href=""%create_password_url"">länken</a> för att logga in på vår webbplats och ange ett lösenord:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Klicka på <a href=""%s"">länken</a> för att logga in på vår webbplats och ange ett lösenord:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Klicka på <a href=""%s"">länken</a> för att logga in på vår webbplats och ange ett lösenord:"
"Email:","E-postadress:"
"When you sign in to your account, you will be able to:","När du har loggat in på ditt konto kommer du att kunna:"
"Proceed through checkout faster","Gå snabbare till kassan"
"Check the status of orders","Kontrollera beställningarnas status"
"View past orders","Visa tidigare beställningar"
"Store alternative addresses (for shipping to multiple family members and friends)","Spara alternativa adresser (för leverans till flera familjemedlemmar och vänner)"
"Thank you, %store_name","Tack, %store_name"
"Thank you, %s","Tack, %s"
"Thank you, %1","Tack, %1"
"Invoices","Fakturor"
"Order Shipments","Beställ försändelser"
"Back to My Orders","Tillbaka till Mina beställningar"
"Order # %1","Beställ # %1"
"Print All Invoices","Skriv ut alla fakturor"
"Invoice #","Faktura #"
"Print Invoice","Faktura #"
"Qty Invoiced","Antal Fakturerade"
"Order Information","Beställningsinformation"
"You submitted your review for moderation.","Du har skickat in din recension för moderering."
"Print All Shipments","Skriv ut alla försändelser"
"Shipment #","Sändning #"
"Shipment #%1","Sändning #%1"
"Print Shipment","Skriv ut sändning"
"Track this shipment","Spåra denna försändelse"
"Qty Shipped","Antal skickas"
"Refunds","Återbetalningar"
"Print All Refunds","Skriv ut alla återbetalningar"
"Refund #","Återbetalning #"
"Refund #%1","Återbetalning #%1"
"Print Refund","Skriv ut återbetalning"
"Discount Amount","Rabattbelopp"
"Row Total","Totalt"
"Discount (%1)","Sconto (%1)"
"SEE LESS","SE MINDRE"
"Nickname","Smeknamn"
"Summary of your Review","Sammanfattning av din recension"
"Welcome, %1!","Välkommen, %1!"
"Shipments","Sändningar"
"View all reviews","Se alla recensioner"
"Update Cart","Uppdatera kundvagn"
"I Agree","Jag håller med"
"Your coupon was successfully applied.","Din kupong tillämpades."
"Your coupon was successfully removed.","Din kupong har tagits bort."
"Your order number is: %1","Ditt ordernummer är: %1"
"Your order # is: <span>%1</span>.","Din beställningsnummer är: <span>%1</span>."
"We\'ll email you an order confirmation with details and tracking info.","Vi skickar en orderbekräftelse till dig med information och spårningsinformation."
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klicka <a href=""%1"" onclick=""this.target=\'_blank\'"">här för att skriva ut</a> en kopia av din orderbekräftelse."
"%1 was updated in your shopping cart.","%1 uppdaterades i din kundvagn."
"I have a question about","Jag har en fråga om"
"How Do You Rate This Product?","Vilket betyg ger du denna produkt?"
"Ship Here","Skicka hit"
"Cancel coupon","Använd inte kupong"
"Password Strength","Lösenordsstyrka"
"No Password","Inget lösenord"
"Weak","Svag"
"Medium","Medium"
"Strong","Stark"
"Very Strong","Väldigt stark"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Det finns redan ett konto med den här e -postadressen. Om du är säker på att det är din e -postadress, <a href=""%1""> klicka här </a> för att få ditt lösenord och komma åt ditt konto."
"Sorry, no quotes are available for this order.","Tyvärr finns inga offerter tillgängliga för denna beställning."
"Get shipping methods and rates","Få fraktmetoder och priser"
"You don\'t need to select a shipping method.","Du behöver inte välja en fraktmetod."
"Incl. Tax","Inkl. Moms"
"Incl. tax","Inkl. moms"
"Excl. Tax","Exkl. Moms"
"Excl. tax","Exkl. moms"
"Total incl. tax","Totalt inkl. moms"
"Total excl. tax","Totalt exkl. moms"
"Refund Shipping (Incl. Tax)","Återbetalning av frakt (Inkl. Moms)"
"Refund Shipping (Excl. Tax)","Återbetalning av frakt (Exkl. Moms)"
"Refund Shipping","Återbetalning av frakt"
"Click to change shipping method","Klicka för att ändra leveransmetod"
"Save in address book","Spara i adressboken"
"Please specify a regionId in shipping address.","Ange ett region -id i leveransadressen."
"New Customers","Nya kunder"
"Registered Customers",
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Om du registrerar dig som kund hos oss, kan du handla mycket smidigare, använda dig av flera leveransadresser, granska och spåra dina beställningar och mycket mer."
"If you have an account with us, please log in.","Om du redan har ett konto hos oss, vänligen logga in."
"Coupon code is not valid","Kupongkoden är ogiltig"
"Login or Create an Account","Logga in eller skapa ett konto"
"View and Edit Cart","Visa och redigera kundvagn"
"We can't find products matching the selection.","Vi kan inte hitta produkter som matchar urvalet."
"GoCustomized - Design your product","GoCustomized - Designa din produkt"
"You're reviewing:","Du recenserar:"
"You're reviewing:\n%s","Du recenserar:\n%s"
"You coupon was successfully applied.","Din kupong tillämpades."
"No Payment Methods","Inga betalningsmetoder"
"You have no items in your shopping cart.","Du har inga produkter i din varukorg."
"Quality","Kvalitet"
"star","stjärna"
"Go Back","Gå tillbaka"
"Please make sure your passwords match.","Se till att dina lösenord matchar."
"We can\'t save the customer.","Vi kan inte rädda kunden."
"Thank you for registering with %1.","Tack för att du registrerade dig hos %1."
"Print Order","Skriv ut beställning"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Beställningsdatum:</span> %1"
"Price","Pris"
"price","pris"
"Filter","Filtrera"
"filter","filtrera"
"Could not apply coupon code","Det gick inte att använda kupongkoden"
"The shipping address is missing. Set the address and try again.","Leveransadressen saknas. Ställ in adressen och försök igen."
"Please type the letters below","Skriv bokstäverna nedan"
"Products Reviews","Produktrecensioner"
"Currently Shopping by","Handlar för närvarande efter"
"Currently Shopping by:","Handlar för närvarande efter:"
"Reviews %1","Recensioner %1"
"You save the address.","Du sparar adressen."
"Reset My Password","Återställ mitt lösenord"
"Incorrect CAPTCHA","Felaktig CAPTCHA"
"A login and a password are required.","En inloggning och ett lösenord krävs."
"Your search returned no results.","Din sökning gav inga resultat."
"Did you mean","Menade du"
"Search results for: '%1'","Sökresultat för: '%1'"
"Ordered","Beställde"
"Shipped","Skickas"
"Create New Customer Account","Skapa nytt kundkonto"
"Personal Information","Personlig information"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"Login Information","Inloggningsinformation"
"Review by","Recension av"
"Posted on","Upplagt på"
"Please select a pickup location.","Välj en upphämtningsplats."
"Already a customer?","Är du redan kund?"
"Receive a faster answer about your order by login in below.","Få ett snabbare svar på din beställning genom att logga in nedan."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Kundkonton skapas när du gör en beställning. Ett e-postmeddelande för att aktivera ditt konto skickas samma dag. Har du inte fått det e-postmeddelandet? Aktivera ditt konto genom att återställa ditt lösenord <a href=""%1"">här</a>."
"Customer Contact","Kundkontakt"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","Är du ännu inte kund? Om du inte har gjort någon beställning hos oss kan du fylla i vårt kontaktformulär."
"Fill out contact form","Fyll i kontaktformuläret"
"Not yet a customer?","Är du ännu inte kund?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Om du inte har gjort någon beställning hos oss kan du fylla i vårt kontaktformulär nedan. Om din fråga gäller din beställning kan du logga in <span class=""login"">här</span>. Då kan vi ge dig ett snabbare svar!"
"General contact form:","Allmänt kontaktformulär:"
"Login to your account","Logga in på ditt konto"
"Check your inbox, we’ll send you...","Titta i din inkorg, vi skickar dig..."
"An email to activate your Customer Account to follow up your order.","Ett mail för att aktivera ditt kundkonto för att följa upp din beställning."
"Your order confirmation with the details of your purchase.","Din orderbekräftelse med uppgifter om ditt köp."
"Activate your customer account – Review your order details in one place.","Aktivera ditt kundkonto - Se dina beställningsuppgifter på ett och samma ställe."
"Your customer account has been created.","Ditt kundkonto har skapats."
"Follow up your order, get direct support, and much more by activating your account! <br/>You just need to set up a password.","Följ upp din beställning, få direkt support och mycket mer genom att aktivera din konto! <br/>Du behöver bara ange ett lösenord."
"<a href=""%create_password_url"">Activate your account</a>","<a href=""%create_password_url"">Aktivera ditt konto</a>"
"It might help you to check our delivery information.","Det kan hjälpa dig att kontrollera vår leveransinformation."
"By placing an order a customer account is automatically created.","När du gör en beställning skapas automatiskt ett kundkonto."
"You are signed out","Du är utloggad"
"Please enter your email address below. You will receive a link to reset your password.","Skriv in din e-postadress nedan och klicka på skicka. Du kommer få en länk till din e-postadress för att återställa ditt lösenord."
"Track Shipment","Spåra leverans"
"No Faqs Found!","Inga vanliga frågor hittades!"
"Your order was successfully received (order number: %1).","Din beställning har tagits emot (beställningsnummer: %1)."
"We expect to deliver your order around %1 and %2.","Vi förväntar oss att leverera din beställning runt %1 och %2."
"We expect to deliver your order on %1.","Vi förväntar oss att leverera din beställning den %1."
"Select one or multiple options to receive your order ready for a gift.","Välj ett eller flera alternativ för att ta emot din beställning som en present."
"Add to Cart","Lägg Till I Kundvagn"
"ADD TO CART","LÄGG TILL I KUNDVAGN"
"Choose your gift options","Välj dina presentalternativ"
"I want it","Jag vill ha den"
"Add","Lägg Till"
"ADD","LÄGG TILL"
"Complete your order","Slutför din beställning"
"COMPLETE YOUR ORDER","SLUTFÖR DIN BESTÄLLNING"
"CONTINUE TO CART","TILL KUNDKORGEN"
"Gift options","Presentalternativ"
"Make it a gift","Gör det till en present"
