"REQUEST YOUR QUOTE","RICHIEDI IL TUO PREVENTIVO"
"Choose another Topic","Scegli un altro tema"
"Need help? Contact us here", "Hai bisogno di aiuto? Contattaci qui"
"Contact with Gocustomized support", "Contatta il supporto di Gocustomized"
"Hi %1, please specify your support request", "Ciao %1, per favore specifica la tua richiesta di supporto"
"Hi %1, how can we help you?", "Ciao %1, come possiamo aiutarti?"
"I need assistance with", "Ho bisogno di assistenza con"
"My received product(s)", "I miei prodotti ricevuti"
"My delivery", "Consegna"
"Cancel order", "Annulla ordine"
"Others", "Altri"
"Please select an issue", "Per favore seleziona la tua domanda o la tua lamentela"
"Contact", "Contatti"
"How can we help you?", "Come possiamo aiutarti?"
"DIRECT CUSTOMER SUPPORT", "SUPPORTO CLIENTI DIRETTO"
"Login", "Accedi"
"Please login to continue with direct support.", "Effettua il login per continuare con il supporto diretto."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Non (ancora) registrato o hai una domanda generica? Contattaci <a href=""javascript:otherQuestion()"">qui</a>"
"Next", "Seguente"
"Other", "Altro"
"change", "cambio"
"Please fill in the required fields", "Per favore riempi i campi richiesti"
"View all topics","Vedi tutti gli argomenti"
"Name","Nome"
"Email address","E-mail"
"Question related to","La tua assistenza è relativa a:"
"My preferred solution","La mia soluzione preferita"
"Upload an image","Carica una foto relativa al problema riscontrato"
"Description of the issue","I tuoi commenti"
"Please note that we can only cancel your order if we did not start printing and shipping your product.","Si prega di notare che la cancellazione dell’ordine è possibile solo nel caso in cui non siano stati avviati i processi di stampa e di spedizione del tuo prodotto"
"Didn't find what you're looking for?","Non hai trovato ciò che stavi cercando? Contattaci per ricevere supporto diretto"
"contact us","Contattaci"
"Topics","Argomenti"
"Search for help by topic, keywords","Argomenti popolari: spedizione, rimborso, pagamento"
"Popular topics:","Argomenti popolari:"
"return","rimborso"
"shipping","spedizione"
"payment","pagamento"
"Cash On Delivery","Pagamento alla consegna"
"Credit Card","Carta di credito"
"Shipping & Handling","Spedizione & trattamento"
"You aren't subscribed to our newsletter.","Non sei iscritto a nessuna newletter al momento."
"Go back","Torna indietro"
"You saved the account information.","Hai salvato le informazioni sull'account."
"Please select a region, state or province.","Seleziona una regione, uno stato o una provincia."
"You have placed no orders.","Non hai effettuato nessun ordine."
"My Product Reviews","Le mie recensioni ai prodotti"
"You have submitted no reviews.","Non hai inviato nessuna recensione."
"Subscription option","Opzione di abbonamento"
"Policies text","Testo delle politiche"
"Read Privacy Policy","Leggi l'informativa sulla privacy"
"Read Cookie Policy","Leggi la Cookie Policy"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Qui puoi scaricare una copia dei tuoi dati personali che memorizziamo per il tuo account in formato CSV."
"Download","Scarica"
"Anonymise personal data","Anonimizza i dati personali"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","L'anonimizzazione dei tuoi dati personali significa che verranno sostituiti
                        con informazioni anonime non personali e prima di ciò otterrai il tuo
                        nuovo login al tuo indirizzo e-mail (la tua password rimarrà la stessa). Dopo questo processo,
                        il tuo indirizzo e-mail e tutti gli altri dati personali verranno rimossi dal sito web."
"I agree and I want to proceed","Accetto e voglio procedere"
"Proceed","Procedere"
"Delete account","Eliminare l'account"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Richiedi di rimuovere il tuo account, insieme a tutti i tuoi dati personali,
                         verrà elaborato dal nostro personale.<br>L'eliminazione del tuo account rimuoverà tutto l'acquisto
                         cronologia, sconti, ordini, fatture e tutte le altre informazioni che potrebbero essere correlate al tuo
                         account o i tuoi acquisti.<br>Tutti i tuoi ordini e informazioni simili saranno
                         perso.<br>Non potrai ripristinare l'accesso al tuo account dopo
                         approviamo la tua richiesta di rimozione."
"I understand and I want to delete my account","Ho capito e voglio cancellare il mio account"
"Submit request","Inviare la richiesta"
"You updated your password.","Hai aggiornato la tua password."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se c'è un account associato a %1 riceverai un'email con un link per reimpostare la password."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se c'è un account associato a %s riceverai un'email con un link per reimpostare la password."
"You have no other address entries in your address book.","Non hai altri indirizzi nella tua rubrica."
"Ship To","Spedire a"
"Reorder","Riordina"
"Recently Ordered","Ordinato di recente"
"View All","Mostra tutto"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","L'accesso all'account non è corretto o il tuo account è temporaneamente disabilitato. Attendi e riprova più tardi."
"Hi %s, Please include as much detail as possible","Ciao %s, per favore includi quanti più dettagli possibile"
"You will be redirected to the PayPal website.","Verrai reindirizzato al sito di PayPal."
"Select Store:","Seleziona negozio:"
"Items Ordered","Articoli Ordinati"
"Order information","Informazioni sull'ordine"
"You have signed out and will go to our homepage in 5 seconds.","Ti sei disconnesso e tra 5 secondi andrai alla nostra homepage."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La lunghezza minima di questo campo deve essere uguale o maggiore di %1 simboli. Gli spazi iniziali e finali verranno ignorati."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Il minimo delle diverse classi di caratteri nella password è %1. Classi di caratteri: Minuscole, Maiuscole, Cifre, Caratteri Speciali."
"Please enter the same value again.","Si prega di inserire di nuovo lo stesso valore."
"The minimum password length is %s","La lunghezza minima della password è %s"
"Please enter your email address below to receive a password reset link.","Inserisci il tuo indirizzo email qui sotto per ricevere un link per la reimpostazione della password."
"Set a New Password","Imposta una nuova password"
"Enter your coupon code if you have one.","Inserisci un codice sconto se lo hai."
"Enter a discount code if you got it.","Inserisci un codice sconto se lo hai."
"Thanks for reaching out to us we'll soon be in contact.","Grazie per averci contattato, ci metteremo presto in contatto."
"Welcome to","Benvenuti su"
"Welcome to %store_name.","Benvenuti su %store_name."
"Welcome to %store_name","Benvenuti su %store_name"
"Welcome to %s.","Benvenuti su %s."
"Welcome to %1.","Benvenuti su %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Per accedere al nostro sito e impostare una password, fai click sul <a href=""%create_password_url"">collegamento</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Per accedere al nostro sito e impostare una password, fai click sul <a href=""%s"">collegamento</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Per accedere al nostro sito e impostare una password, fai click sul <a href=""%1"">collegamento</a>:"
"Email:","E-mail:"
"When you sign in to your account, you will be able to:","Accedendo al tuo account, potrai:"
"Proceed through checkout faster","Procedere più rapidamente al check-out"
"Check the status of orders","Controllare lo stato degli ordini"
"View past orders","Visualizzare gli ordini passati"
"Store alternative addresses (for shipping to multiple family members and friends)","Archiviare indirizzi alternativi (per spedire a più amici e a più membri della famiglia)"
"Thank you, %store_name","Grazie, %store_name"
"Thank you, %s","Grazie, %s"
"Thank you, %1","Grazie, %1"
"My Recent Reviews","Le mie recensioni recenti"
"Invoices","Fatture"
"Order Shipments","Spedizioni degli ordini"
"Back to My Orders","Torna a I miei ordini"
"Order # %1","Ordine # %1"
"Print All Invoices","Stampa tutte le fatture"
"Invoice #","Fattura #"
"Print Invoice","Stampa fattura"
"Qty Invoiced","Qtà Fatturata"
"Order Information","Informazioni sull'ordine"
"You submitted your review for moderation.","Hai inviato la tua recensione per la moderazione."
"Print All Shipments","Stampa tutte le spedizioni"
"Shipment #","Spedizione #"
"Shipment #%1","Spedizione #%1"
"Print Shipment","Stampa spedizione"
"Track this shipment","Traccia questa spedizione"
"Qty Shipped","Qtà spedita"
"Refunds","Rimborsi"
"Print All Refunds","Stampa tutti i rimborsi"
"Refund #","Rimborso #"
"Refund #%1","Rimborso #%1"
"Print Refund","Stampa rimborso"
"Discount Amount","Totale sconto"
"Row Total","Totale"
"Discount (%1)","Sconto (%1)"
"Request to change delivery address","Richiesta di modifica dell&apos;indirizzo di consegna"
"Request for cancellation","Richiesta di annullamento"
"SEE MORE","VEDI DI PIÙ"
"Review","Recensione"
"Welcome, %1!","Welkom, %1!"
"Shipments","Spedizioni"
"All Reviews","Tutte le recensioni"
"View all reviews","Vedi tutte le recensioni"
"View All Reviews","Vedi tutte le recensioni"
"Update Cart","Aggiorna carrello"
"I Agree","Sono d'accordo"
"Cancel Coupon","Annulla coupon"
"Your coupon was successfully applied.","Il tuo coupon è stato applicato con successo."
"Your coupon was successfully removed.","Il tuo coupon è stato rimosso con successo."
"Your order number is: %1","Il tuo numero d'ordine è: %1"
"Your order # is: <span>%1</span>.","Il tuo ordine # è: <span>%1</span>."
"We\'ll email you an order confirmation with details and tracking info.","Ti invieremo un'e-mail di conferma dell'ordine con i dettagli e le informazioni di tracciamento."
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Fai clic <a href=""%1"" onclick=""this.target=\'_blank\'"">qui per stampare</a> una copia della conferma dell'ordine."
"%1 was updated in your shopping cart.","%1 è stato aggiornato nel tuo carrello."
"I have a question about","Ho una domanda su"
"Summary of Your Review","Riepilogo Della Tua Recensione"
"Ship Here","Spedisci qui"
"I have a question about","Ho una domanda su"
"Summary of Your Review","Riepilogo Della Tua Recensione"
"Ship Here","Spedisci qui"
"Cancel coupon","Annulla coupon"
"Click <a href=""%1"">here</a> to continue shopping.","Fai clic <a href=""%1"">qui</a> per continuare a fare acquisti."
"Password Strength","Forza della password"
"No Password","No Password"
"Weak","Debole"
"Medium","Medio"
"Strong","Forte"
"Very Strong","Molto forte"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","C'è già un account con questo indirizzo email. Se sei sicuro che sia il tuo indirizzo email, <a href=""%1"">fai clic qui</a> per ottenere la tua password e accedere al tuo account."
"Forgot your password?","Hai dimenticato la password?"
"Sorry, no quotes are available for this order.","Spiacenti, non sono disponibili preventivi per questo ordine."
"Get shipping methods and rates","Ottieni metodi e tariffe di spedizione"
"You don\'t need to select a shipping method.","Non è necessario selezionare un metodo di spedizione."
"Incl. Tax","Incl. Tasse"
"Incl. tax","Incl. tasse"
"Excl. Tax","Excl. Tasse"
"Excl. tax","Excl. tasse"
"Total incl. tax","Totale incl. tasse"
"Total excl. tax","Totale excl. tasse"
"Refund Shipping (Incl. Tax)","Spedizione di rimborso (Incl. Tasse)"
"Refund Shipping (Excl. Tax)","Spedizione di rimborso (Excl. Tasse)"
"Refund Shipping","Rimborso spedizione"
"Click to change shipping method","Clicca per modificare il metodo di spedizione"
"Save in address book","Salva in rubrica"
"Please specify a regionId in shipping address.","Si prega di specificare un regionId nell'indirizzo di spedizione."
"New Customers","Nuovi clienti"
"Registered Customers","Clienti registrati"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio sarai in grado di muoverti velocemente verso gli ordini, effettuare ordini con indirizzi di spedizione multipli, visualizzare e tracciare i tuoi ordini nel tuo account e altro ancora!"
"If you have an account with us, please log in.","Se hai un account con noi, per favore accedi."
"Coupon code is not valid","Il codice coupon non è valido"
"Login or Create an Account","Accedi o crea un account"
"View and Edit Cart","Visualizza e modifica carrello"
"We can't find products matching the selection.","Non riusciamo a trovare prodotti corrispondenti alla selezione."
"GoCustomized - Design your product","GoCustomized - Progetta il tuo prodotto"
"You're reviewing:","Stai recensendo:"
"You're reviewing:\n%s","Stai recensendo:\n%s"
"You coupon was successfully applied.","Il tuo coupon è stato applicato con successo."
"No Payment Methods","Nessun metodo di pagamento"
"You have no items in your shopping cart.","Non ci sono articoli nel tuo carrello."
"Quality","Qualità"
"star","stella"
"Go Back","Torna indietro"
"Please make sure your passwords match.","Assicurarsi che le password coincidano."
"We can\'t save the customer.","Non possiamo salvare il cliente."
"Thank you for registering with %1.","Grazie per esserti registrato con %1."
"Print Order","Ordine di stampa"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Data ordine:</span> %1"
"Price","Prezzo"
"price","prezzo"
"Filter","Filtro"
"filter","filtro"
"Could not apply coupon code","Impossibile applicare il codice coupon"
"The shipping address is missing. Set the address and try again.","Manca l'indirizzo di spedizione. Imposta l'indirizzo e riprova."
"Please type the letters below","Si prega di digitare le lettere qui sotto"
"Products Reviews","Recensioni prodotti"
"Currently Shopping by","Attualmente acquisti da"
"Currently Shopping by:","Attualmente acquisti da:"
"Reviews %1","Recensioni %1"
"You save the address.","Salva l'indirizzo."
"Reset My Password","Reimposta la mia password"
"Thank you for your purchase!","Grazie per il tuo acquisto!"
"Incorrect CAPTCHA","CAPTCHA errato"
"A login and a password are required.","Sono richiesti login e password."
"Your search returned no results.","La ricerca non ha prodotto risultati."
"Did you mean","Intendevi"
"Search results for: '%1'","Cerca risultati per: '%1'"
"Ordered","Ordinato"
"Shipped","Spedito"
"Create New Customer Account","Crea nuovo account cliente"
"Personal Information","Informazione personale"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Login Information","Informazioni di accesso"
"Review by","Recensione di"
"Posted on","Postato su"
"Please select a pickup location.","Seleziona un luogo di ritiro."
"Already a customer?","Sei già cliente?"
"Receive a faster answer about your order by login in below.","Ricevi una risposta più rapida sul tuo ordine effettuando l'accesso qui sotto."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Quando effettui un ordine, si crea un account cliente. Lo stesso giorno ti abbiamo inviato un'e-mail per attivare il tuo account. Non hai ricevuto l'e-mail? Attiva il tuo account reimpostando la password <a href=""%1"">qui</a>."
"Customer Contact","Contatti del cliente"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","Non sei ancora cliente? Se non hai effettuato ordini da noi, compila il modulo di contatto."
"Fill out contact form","Compila il modulo di contatto"
"Not yet a customer?","Non sei ancora cliente?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Se non hai effettuato ordini da noi, compila il modulo di contatto qui sotto. Se la tua domanda riguarda l'ordine, esegui l'accesso <span class=""login"">qui</span>. Questo ci aiuterà a risponderti più in fretta!"
"General contact form:","Modulo di contatto generale:"
"Login to your account","Accedi al tuo account"
"Check your inbox, we’ll send you...","Controlla la posta in arrivo, ti inveremo..."
"An email to activate your Customer Account to follow up your order.","Un'e-mail per attivare il tuo account cliente per monitorare lo stato dell'ordine."
"Your order confirmation with the details of your purchase.","La conferma dell'ordine con i dettagli dell'acquisto."
"Activate your customer account – Review your order details in one place.","Attiva il tuo account cliente – Rivedi i dettagli dell'ordine in un unico posto."
"Your customer account has been created.","Il tuo account è stato creato."
"Follow up your order, get direct support, and much more by activating your account! <br/>You just need to set up a password.","Segui lo stato dell'ordine, ottieni assistenza diretta e molto altro attivando il tuo account! <br/>Devi solo scegliere una password."
"<a href=""%create_password_url"">Activate your account</a>","<a href=""%create_password_url"">Attiva il tuo account</a>"
"It might help you to check our delivery information.","Potrebbe esserti utile leggere le nostre informazioni di consegna."
"By placing an order a customer account is automatically created.","Effettuando un ordine si crea automaticamente un account cliente."
"You are signed out","Sei disconnesso"
"Please enter your email address below. You will receive a link to reset your password.","Inserisci il tuo indirizzo email di seguito. Riceverai un link per fare il reset della password."
"Track Shipment","Tracciare la spedizione"
"No Faqs Found!","Nessuna FAQs trovata!"
"Your order was successfully received (order number: %1).","Ordine ricevuto con successo (numero d'ordine: %1)."
"Page","Pagina"
"Page:","Pagina:"
"We expect to deliver your order around %1 and %2.","L'ordine sarà consegnato intorno al %1 e %2."
"We expect to deliver your order on %1.","L'ordine sarà consegnato al %1."
"Select one or multiple options to receive your order ready for a gift.","Seleziona una o più opzioni per ricevere l'ordine pronto da essere regalato."
"Add to Cart","Aggiungi Al Carrello"
"ADD TO CART","AGGIUNGI AL CARRELLO"
"Choose your gift options","Scegli le opzioni del tuo regalo"
"I want it","Lo voglio"
"Add","Aggiungi"
"ADD","AGGIUNGI"
"Complete your order","Aggiungi articoli all'ordine"
"COMPLETE YOUR ORDER","COMPLETA TU PEDIDO"
"CONTINUE TO CART","VAI AL CARRELLO"
"Gift options","Fai un regalo"
"Make it a gift","Fai un reglo"
